2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op01no04a_Largo')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op01no04b_Presto_e_alla_breve')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op01no04c_Adagio')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op01no04d_Non_tanto_Allegro')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op01no05a_Larghetto_e_staccato')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op01no05b_Non_tanto_Allegro')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op01no05c_Siciliana')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op01no05d_Presto')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op01no06a_Adagio')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op01no06b_Allegretto')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op01no06c_Grave')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op01no06d_Minuet_con_Variazioni')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op04no01a_Non_tanto_Allegro')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op04no01b_Presto')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op04no01c_Andantino_e_staccato')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op04no01d_Minuetto')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op04no02a_Allegro')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op04no02b_Adagio')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op04no02c_Allegro')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op04no02d_Allegro')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op04no03a_Allegro')
2024-03-25 17:25:10,338 - WARNING - ('platti_sonatas', 'platti_op04no03b_Andantino')
2024-03-25 17:25:10,339 - WARNING - ('platti_sonatas', 'platti_op04no03c_Allegro_assai')
2024-03-25 17:25:10,339 - WARNING - ('platti_sonatas', 'platti_op04no04a_Allegro')
2024-03-25 17:25:10,339 - WARNING - ('platti_sonatas', 'platti_op04no04b_Adagio')
2024-03-25 17:25:10,339 - WARNING - ('platti_sonatas', 'platti_op04no04c_Allegro_assai')
2024-03-25 17:25:10,339 - WARNING - ('platti_sonatas', 'platti_op04no05a_Adagio')
2024-03-25 17:25:10,339 - WARNING - ('platti_sonatas', 'platti_op04no05b_Allegro')
2024-03-25 17:25:10,339 - WARNING - ('platti_sonatas', 'platti_op04no05c_Allegro')
2024-03-25 17:25:10,339 - WARNING - ('platti_sonatas', 'platti_op04no06a_Non_tanto_Allegro')
2024-03-25 17:25:10,339 - WARNING - ('platti_sonatas', 'platti_op04no06b_Larghetto')
2024-03-25 17:25:10,339 - WARNING - ('platti_sonatas', 'platti_op04no06c_Polonoise')
2024-03-25 17:25:10,339 - WARNING - ('platti_sonatas', 'platti_op04no06d_Allegro')
2024-03-25 17:25:10,339 - WARNING - ('rachmaninoff_piano', 'op42_18')
2024-03-25 17:25:10,339 - WARNING - ('rachmaninoff_piano', 'op42_19')
