	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	mean_r_chromaticity	max_r_chromaticity	min_r_chromaticity	mean_ct_chromaticity	max_ct_chromaticity	min_ct_chromaticity	mean_nct_chromaticity	max_nct_chromaticity	min_nct_chromaticity	mean_pcs_chromaticity	max_pcs_chromaticity	min_pcs_chromaticity	mean_ct_diatonicity	max_ct_diatonicity	min_ct_diatonicity	mean_nct_diatonicity	max_nct_diatonicity	min_nct_diatonicity	mean_pcs_diatonicity	max_pcs_diatonicity	min_pcs_diatonicity	root_fifths_range	ct_fifths_range	nct_fifths_range	scaled_r_chromaticity	scaled_ct_chromaticity	scaled_nct_chromaticity	corpus_id	piece_id
40	frescobaldi_fiori_musicali	12.06_Christe,_Tema_B,_alio_modo_II	1635.0	1635.0	d	i	5	-4	5	-4	5	-4	0.06521739130434782	3	0	1.5	3	0	1.3333333333333333	3	0	1.5	3	0	0.0	0	0	0.0	0	0	0.0	0	0	9	9	9	0.02971443272446617	0.0988538681948424	0.037037037037037035	5	41
41	frescobaldi_fiori_musicali	12.07_Christe,_Tema_B,_alio_modo_III	1635.0	1635.0	d	i	0	-4	4	-4	5	-4	0.0	0	0	1.0	2	0	1.6666666666666667	3	0	1.6666666666666667	3	0	0.0	0	0	0.0	0	0	1.0	2	0	4	8	9	0.0	0.0659025787965616	0.0462962962962963	5	42
42	frescobaldi_fiori_musicali	12.08_Kyrie,_Tema_C	1635.0	1635.0	d	i	2	-4	4	-4	2	-4	0.0	0	0	1.0	2	0	0.0	0	0	1.0	2	0	0.0	0	0	0.0	0	0	0.0	0	0	6	8	6	0.0	0.0659025787965616	0.0	5	43
43	frescobaldi_fiori_musicali	12.09_Kyrie,_Tema_D,_alio_modo_I	1635.0	1635.0	d	i	2	-4	6	-4	4	-4	0.0	0	0	2.2	5	0	1.0	2	0	2.6	7	0	0.0	0	0	0.0	0	0	0.0	0	0	6	10	8	0.0	0.14498567335243553	0.027777777777777776	5	44
44	frescobaldi_fiori_musicali	12.10_Kyrie,_Tema_D,_alio_modo_II	1635.0	1635.0	d	i	6	-4	6	-4	6	-4	0.3269230769230769	4	0	2.2	5	0	2.0	4	0	2.5	5	0	0.0	0	0	0.5	1	0	0.5	1	0	10	10	10	0.14895311788802915	0.14498567335243553	0.05555555555555555	5	45
45	frescobaldi_fiori_musicali	12.11_Kyrie_ultimo	1635.0	1635.0	d	i	5	-4	6	-4	5	-4	0.26153846153846155	3	0	2.2	5	0	1.5	3	0	2.5	5	0	1.0	2	0	1.0	2	0	1.0	2	0	9	10	9	0.11916249431042332	0.14498567335243553	0.041666666666666664	5	46
46	frescobaldi_fiori_musicali	12.12_Kyrie,_Tema_D,_alio_modo_III	1635.0	1635.0	d	i	6	-4	6	-4	6	-4	0.2857142857142857	4	0	2.2	5	0	2.0	4	0	2.0	4	0	0.0	0	0	0.0	0	0	0.0	0	0	10	10	10	0.1301775147928994	0.14498567335243553	0.05555555555555555	5	47
47	frescobaldi_fiori_musicali	12.13_Kyrie,_Tema_D,_alio_modo_IV	1635.0	1635.0	d	i	2	-3	5	-4	5	-1	0.0	0	0	1.5	3	0	1.6666666666666667	4	0	2.0	4	0	1.0	2	0	0.0	0	0	1.0	2	0	5	9	6	0.0	0.0988538681948424	0.0462962962962963	5	48
48	frescobaldi_fiori_musicali	12.14_Canzon_dopo_l’Epistola	1635.0	1635.0	d	i	6	-4	6	-4	6	-4	0.2037914691943128	4	0	2.2	5	0	2.0	4	0	3.5	7	0	1.0	2	0	1.0	2	0	1.0	2	0	10	10	10	0.09285173448498275	0.14498567335243553	0.05555555555555555	5	49
49	frescobaldi_fiori_musicali	12.15_Recercar_dopo_il_Credo	1635.0	1635.0	g	i	5	-4	6	-4	4	-4	0.09876543209876543	3	0	2.2	5	0	1.0	2	0	2.5	5	0	0.0	0	0	0.0	0	0	1.0	2	0	9	10	8	0.044999634743224486	0.14498567335243553	0.027777777777777776	5	50
