	corpus	corpus_year	localkey_mode	corpus_id	ILC	OLC	DI
42	chopin_mazurkas	1838.2307692307693	major	23	0.7583763126945824	0.9484377450830087	0.41462164959448405
43	chopin_mazurkas	1838.2307692307693	minor	23	1.8180657266995885	0.49237972889714104	0.39912482896860957
44	schumann_kinderszenen	1839.0	major	24	0.4284182139650187	0.0772881216266533	0.38040573868599803
45	schumann_kinderszenen	1839.0	minor	24	1.297368942256982	0.26196366102662955	0.3824775092826091
46	schumann_liederkreis	1840.0	minor	25	1.1033056980425402	0.2699067873409979	0.35335403750041905
47	schumann_liederkreis	1840.0	major	25	0.5661245452703675	0.2798233613290682	0.38612307115997724
48	c_schumann_lieder	1847.2645259938838	major	26	0.8614199358486738	0.07386309376486595	0.40678326024932404
49	c_schumann_lieder	1847.2645259938838	minor	26	1.2870370370370372	0.0	0.40293101851851854
50	liszt_pelerinage	1857.079674150606	major	27	1.3489908862264772	1.8373485765104025	0.4004060839636232
51	liszt_pelerinage	1857.079674150606	minor	27	2.1638791581188808	2.470054429373207	0.43209092079418904
52	wagner_overtures	1864.990230286113	minor	28	3.313953488372093	0.8178294573643411	0.538627519379845
53	wagner_overtures	1864.990230286113	major	28	1.4278091478902837	0.36239789485225593	0.45429146337006376
54	tchaikovsky_seasons	1876.0	major	29	0.8074509735425539	1.5830644895362393	0.41071850559005746
55	tchaikovsky_seasons	1876.0	minor	29	1.469787422337154	0.6318250118607259	0.3923122737194623
56	dvorak_silhouettes	1879.0	minor	30	1.194650250990478	0.26882054610243494	0.33610780209774277
57	dvorak_silhouettes	1879.0	major	30	0.42834682269037905	4.987892445653272	0.35456671637561055
58	grieg_lyric_pieces	1890.3354624738975	major	31	1.0033412555620245	0.7415914471138102	0.40806814838275657
59	grieg_lyric_pieces	1890.3354624738975	minor	31	1.7715899148517624	0.49511482641470556	0.41159325894371124
60	ravel_piano	1903.8101851851852	major	32	2.7777136615882654	0.8447028551413202	0.5615616248264871
61	ravel_piano	1903.8101851851852	minor	32	2.541574530417455	0.8773900767697969	0.6179468381650207
