	corpus	piece	corpus_year	piece_year	period	period_Johannes	globalkey	localkey	chord_num	total_WLD	piece_avg_WLD	corpus_id	piece_id
1051	liszt_pelerinage	162.01_Gondoliera	1857.079674150606	1861	Early Romantic	Extended tonality	F#	I	116	1492.0	12.862068965517242	27	1039
1052	liszt_pelerinage	162.02_Canzone	1857.079674150606	1861	Early Romantic	Extended tonality	eb	i	98	1242.0	12.673469387755102	27	1040
1053	liszt_pelerinage	162.03_Tarantella_da_Guillaume_Louis_Cottrau._Presto_e_canzone_napolitana	1857.079674150606	1861	Early Romantic	Extended tonality	g	i	711	8088.0	11.375527426160337	27	1041
1054	wagner_overtures	WWV090_Tristan_01_Vorspiel-Prelude_Ricordi1888Floridia	1864.990230286113	1859	Early Romantic	Extended tonality	a	i	360	5499.0	15.275	28	1042
1055	wagner_overtures	WWV096-Meistersinger_01_Vorspiel-Prelude_SchottKleinmichel	1864.990230286113	1867	Early Romantic	Extended tonality	C	I	1073	13747.0	12.811742777260019	28	1043
1056	tchaikovsky_seasons	op37a01	1876.0	1876	Late Romantic	Extended tonality	A	I	313	3712.0	11.859424920127795	29	1044
1057	tchaikovsky_seasons	op37a02	1876.0	1876	Late Romantic	Extended tonality	D	I	275	3056.0	11.112727272727273	29	1045
1058	tchaikovsky_seasons	op37a03	1876.0	1876	Late Romantic	Extended tonality	g	i	115	1446.0	12.57391304347826	29	1046
1059	tchaikovsky_seasons	op37a04	1876.0	1876	Late Romantic	Extended tonality	Bb	I	207	3229.0	15.599033816425122	29	1047
1060	tchaikovsky_seasons	op37a05	1876.0	1876	Late Romantic	Extended tonality	G	I	191	2231.0	11.680628272251308	29	1048
1061	tchaikovsky_seasons	op37a06	1876.0	1876	Late Romantic	Extended tonality	g	i	249	3180.0	12.771084337349398	29	1049
1062	tchaikovsky_seasons	op37a07	1876.0	1876	Late Romantic	Extended tonality	Eb	I	175	2087.0	11.925714285714285	29	1050
1063	tchaikovsky_seasons	op37a08	1876.0	1876	Late Romantic	Extended tonality	b	i	492	5372.0	10.91869918699187	29	1051
1064	tchaikovsky_seasons	op37a09	1876.0	1876	Late Romantic	Extended tonality	G	I	359	3522.0	9.81058495821727	29	1052
1065	tchaikovsky_seasons	op37a10	1876.0	1876	Late Romantic	Extended tonality	d	i	191	2491.0	13.041884816753926	29	1053
1066	tchaikovsky_seasons	op37a11	1876.0	1876	Late Romantic	Extended tonality	E	I	165	1958.0	11.866666666666667	29	1054
