	corpus	piece	corpus_year	piece_year	globalkey	localkey	piece_weighted_WLD	corpus_id	piece_id
110	kleine_geistliche_konzerte	op09n10swv315_Hodie_Christus_natus_est	1637.9308224442736	1639	d	i	0.21952861952862024	5	111
111	kleine_geistliche_konzerte	op09n11swv316_Wann_unsre_Augen_schlafen_ein	1637.9308224442736	1639	g	i	0.20921052631578962	5	112
112	kleine_geistliche_konzerte	op09n12swv317_Meister,_wir_haben_die_ganze_Nacht_gearbeitet	1637.9308224442736	1639	d	i	0.21811594202898535	5	113
113	kleine_geistliche_konzerte	op09n13swv318_Die_Furcht_des_Herren	1637.9308224442736	1639	g	i	0.20485651214128006	5	114
114	kleine_geistliche_konzerte	op09n14swv319_Ich_beuge_meine_Knie_gegen_dem_Vater	1637.9308224442736	1639	G	I	0.21991228070175395	5	115
115	kleine_geistliche_konzerte	op09n15swv320_Ich_bin_jung_gewesen_und_bin_alt_worden	1637.9308224442736	1639	F	I	0.21794871794871803	5	116
116	kleine_geistliche_konzerte	op09n16swv321_Herr,_wenn_ich_nur_dich	1637.9308224442736	1639	d	i	0.21688034188034142	5	117
117	kleine_geistliche_konzerte	op09n17swv322_Rorate,_rorate_coeli	1637.9308224442736	1639	g	i	0.21617187500000015	5	118
118	kleine_geistliche_konzerte	op09n18swv323_Joseph,_du_Sohn_David	1637.9308224442736	1639	a	i	0.22120129870129868	5	119
119	kleine_geistliche_konzerte	op09n19swv324_Ich_bin_die_Auferstehung	1637.9308224442736	1639	d	i	0.21397306397306473	5	120
120	kleine_geistliche_konzerte	op09n20swv325_Die_Seele_Christi_heilige_mich	1637.9308224442736	1639	g	i	0.21851851851851795	5	121
121	kleine_geistliche_konzerte	op09n21swv326_Ich_ruf_zu_dir,_Herr_Jesu_Christ	1637.9308224442736	1639	g	i	0.2217399267399264	5	122
122	kleine_geistliche_konzerte	op09n22swv327_Allein_Gott_in_der_Höh	1637.9308224442736	1639	G	I	0.21586233565351864	5	123
123	kleine_geistliche_konzerte	op09n23swv328_Veni,_Sancte_Spiritus	1637.9308224442736	1639	G	I	0.21427595628415208	5	124
124	kleine_geistliche_konzerte	op09n24swv329_Ist_Gott_für_uns	1637.9308224442736	1639	g	i	0.20603070175438615	5	125
125	kleine_geistliche_konzerte	op09n25swv330_Wer_will_uns_scheiden_von_der_Liebe_Gottes	1637.9308224442736	1639	g	i	0.20999999999999966	5	126
126	kleine_geistliche_konzerte	op09n26swv331_Die_Stimm_des_Herren_gehet_auf_den_Wassern	1637.9308224442736	1639	d	i	0.20975975975976027	5	127
127	kleine_geistliche_konzerte	op09n27swv332_Jubilate_Deo_omnis_terra	1637.9308224442736	1639	F	I	0.22160606060606003	5	128
128	kleine_geistliche_konzerte	op09n28swv333_Sei_gegrüßet,_Maria	1637.9308224442736	1639	G	I	0.2125319040326692	5	129
129	kleine_geistliche_konzerte	op09n29swv334_Ave_Maria,_qualis_est	1637.9308224442736	1639	G	I	0.21324451410658307	5	130
130	kleine_geistliche_konzerte	op09n30swv335_Was_betrübst_du_dich,_meine_Seele	1637.9308224442736	1639	g	i	0.21687739463601519	5	131
131	kleine_geistliche_konzerte	op09n31swv336_Quemadmodum_desiderat_cervus	1637.9308224442736	1639	g	i	0.21722663139329862	5	132
132	kleine_geistliche_konzerte	op09n32swv337_Aufer_immensam	1637.9308224442736	1639	a	i	0.2199595959595968	5	133
133	corelli	op01n01a	1687.6864702945581	1681	F	I	0.2571428571428569	6	134
134	corelli	op01n01b	1687.6864702945581	1681	F	I	0.24440789473684255	6	135
135	corelli	op01n01c	1687.6864702945581	1681	F	I	0.2405405405405406	6	136
136	corelli	op01n01d	1687.6864702945581	1681	F	I	0.23333333333333314	6	137
137	corelli	op01n02a	1687.6864702945581	1681	e	i	0.23157894736842125	6	138
138	corelli	op01n02b	1687.6864702945581	1681	e	i	0.2449074074074071	6	139
139	corelli	op01n02c	1687.6864702945581	1681	e	i	0.2503875968992246	6	140
140	corelli	op01n02d	1687.6864702945581	1681	e	i	0.24662867996201293	6	141
141	corelli	op01n03a	1687.6864702945581	1681	A	I	0.2524509803921567	6	142
142	corelli	op01n03b	1687.6864702945581	1681	A	I	0.24660493827160462	6	143
143	corelli	op01n03c	1687.6864702945581	1681	A	vi	0.24757281553398064	6	144
144	corelli	op01n03d	1687.6864702945581	1681	A	I	0.22325315005727342	6	145
145	corelli	op01n04a	1687.6864702945581	1681	a	i	0.23421052631578942	6	146
146	corelli	op01n04b	1687.6864702945581	1681	a	i	0.23611111111111113	6	147
147	corelli	op01n04c	1687.6864702945581	1681	a	i	0.23764880952380912	6	148
148	corelli	op01n04d	1687.6864702945581	1681	a	i	0.23824786324786293	6	149
149	corelli	op01n05a	1687.6864702945581	1681	Bb	I	0.26480000000000004	6	150
150	corelli	op01n05b	1687.6864702945581	1681	Bb	I	0.258547008547008	6	151
151	corelli	op01n05c	1687.6864702945581	1681	Bb	vi	0.23920187793427217	6	152
152	corelli	op01n05d	1687.6864702945581	1681	Bb	I	0.2423728813559323	6	153
153	corelli	op01n06a	1687.6864702945581	1681	b	i	0.2742424242424241	6	154
154	corelli	op01n06b	1687.6864702945581	1681	b	i	0.2891666666666663	6	155
155	corelli	op01n06c	1687.6864702945581	1681	b	i	0.2634218289085546	6	156
156	corelli	op01n06d	1687.6864702945581	1681	b	i	0.23647342995169093	6	157
157	corelli	op01n07a	1687.6864702945581	1681	C	I	0.2348958333333333	6	158
158	corelli	op01n07b	1687.6864702945581	1681	C	vi	0.24880952380952367	6	159
159	corelli	op01n07c	1687.6864702945581	1681	C	I	0.24296296296296263	6	160
160	corelli	op01n08a	1687.6864702945581	1681	c	i	0.24270833333333316	6	161
161	corelli	op01n08b	1687.6864702945581	1681	c	i	0.2345833333333334	6	162
162	corelli	op01n08c	1687.6864702945581	1681	c	i	0.25138888888888894	6	163
163	corelli	op01n08d	1687.6864702945581	1681	c	i	0.206267806267806	6	164
164	corelli	op01n09a	1687.6864702945581	1681	G	I	0.20543209876543217	6	165
165	corelli	op01n09b	1687.6864702945581	1681	G	I	0.25202702702702695	6	166
166	corelli	op01n09c	1687.6864702945581	1681	G	I	0.2345679012345678	6	167
167	corelli	op01n09d	1687.6864702945581	1681	G	I	0.20682730923694786	6	168
168	corelli	op01n10a	1687.6864702945581	1681	g	i	0.2604166666666668	6	169
169	corelli	op01n10b	1687.6864702945581	1681	g	i	0.24313725490196073	6	170
170	corelli	op01n10c	1687.6864702945581	1681	g	i	0.23295019157088115	6	171
171	corelli	op01n10d	1687.6864702945581	1681	g	i	0.24857142857142872	6	172
172	corelli	op01n10e	1687.6864702945581	1681	g	i	0.23201058201058167	6	173
173	corelli	op01n11a	1687.6864702945581	1681	d	i	0.26666666666666655	6	174
174	corelli	op01n11b	1687.6864702945581	1681	d	i	0.25343137254901915	6	175
175	corelli	op01n11c	1687.6864702945581	1681	d	i	0.24646464646464677	6	176
176	corelli	op01n11d	1687.6864702945581	1681	d	i	0.2543981481481481	6	177
177	corelli	op01n12a	1687.6864702945581	1681	D	I	0.25657894736842113	6	178
178	corelli	op01n12b	1687.6864702945581	1681	D	I	0.26111111111111096	6	179
179	corelli	op01n12c	1687.6864702945581	1681	b	i	0.2576923076923077	6	180
180	corelli	op01n12d	1687.6864702945581	1681	D	I	0.2445340501792113	6	181
181	corelli	op03n01a	1687.6864702945581	1689	F	I	0.25109649122807026	6	182
182	corelli	op03n01b	1687.6864702945581	1689	F	I	0.2408783783783781	6	183
