	corpus	piece	corpus_id	piece_id	corpus_year	piece_year	period	globalkey	localkey	ILC	OLC	ILD
83	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	Renaissance	G	I	0.0	0.0	0.061250000000000006
84	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	i	1.0769230769230769	0.0	0.0598360655737705
85	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	iv	1.4	0.0	0.08952285714285715
86	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	VI	0.0	0.14285714285714285	0.11538461538461539
87	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	VII	0.6666666666666666	0.3333333333333333	0.09230769230769233
88	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	iv	1.2	0.0	0.02857142857142857
89	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	III	0.0	0.0	0.11764705882352941
90	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	iv	0.75	0.25	0.022857142857142857
91	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	i	1.0	0.0	0.019672131147540985
92	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	III	0.0	0.0	0.0823529411764706
93	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	VI	0.0	0.2	0.038461538461538464
94	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	iv	0.5	0.0	0.03428571428571429
95	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	i	0.8333333333333334	0.0	0.019672131147540985
96	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	VI	0.42857142857142855	0.0	0.05384615384615385
97	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	i	0.6666666666666666	0.0	0.04152950819672131
98	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	iv	1.5	0.0	0.07809428571428571
99	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	VII	0.5714285714285714	0.0	0.16922307692307692
100	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	Renaissance	d	i	1.1851851851851851	0.2962962962962963	0.13251311475409835
101	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	i	0.5	0.0	0.042857142857142864
102	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	v	0.5454545454545454	0.0	0.0873551724137931
103	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	VII	0.0	0.0	0.03529411764705883
104	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	III	0.0	0.0	0.06000000000000001
105	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	i	1.5	0.0	0.014285714285714287
106	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	v	1.6666666666666667	0.0	0.027586206896551727
107	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	III	0.0	0.0	0.02
108	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	i	1.5	0.0	0.028571428571428574
109	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	IV	0.0	0.0	0.10909090909090911
110	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	VII	0.0	0.0	0.09411764705882353
111	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	iv	1.2222222222222223	0.0	0.26666666666666666
112	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	i	1.4545454545454546	0.09090909090909091	0.07857142857142858
113	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	VII	0.0	0.0	0.07058823529411766
114	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	i	1.4	0.0	0.04761785714285714
115	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	III	0.25	0.08333333333333333	0.12000000000000002
116	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	IV	0.4	0.0	0.1212090909090909
117	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	v	1.375	0.0	0.07528620689655173
118	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	ii	1.8333333333333333	0.0	0.26666666666666666
119	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	I	0.0	0.25	0.2854125
120	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	Renaissance	g	v	1.7142857142857142	0.0	0.06206896551724138
121	monteverdi_madrigals	5-04c	2	15	1609.1691322587767	1605	Renaissance	g	i	0.7777777777777778	0.0	0.030555555555555558
122	monteverdi_madrigals	5-04c	2	15	1609.1691322587767	1605	Renaissance	g	v	0.7272727272727273	0.09090909090909091	0.13611111111111113
123	monteverdi_madrigals	5-04c	2	15	1609.1691322587767	1605	Renaissance	g	i	0.75	0.0	0.011111111111111112
124	monteverdi_madrigals	5-04c	2	15	1609.1691322587767	1605	Renaissance	g	IV	0.5	0.0	0.08888888888888889
125	monteverdi_madrigals	5-04c	2	15	1609.1691322587767	1605	Renaissance	g	i	0.8444444444444444	0.022222222222222223	0.1416666666666667
126	monteverdi_madrigals	5-04c	2	15	1609.1691322587767	1605	Renaissance	g	IV	0.0	0.2	0.1111111111111111
127	monteverdi_madrigals	5-04c	2	15	1609.1691322587767	1605	Renaissance	g	i	0.7142857142857143	0.0	0.02291666666666667
128	monteverdi_madrigals	5-04c	2	15	1609.1691322587767	1605	Renaissance	g	VII	0.0	0.0	0.20000000000000004
129	monteverdi_madrigals	5-04c	2	15	1609.1691322587767	1605	Renaissance	g	v	0.42857142857142855	0.0	0.09166666666666667
130	monteverdi_madrigals	5-04c	2	15	1609.1691322587767	1605	Renaissance	g	i	0.7142857142857143	0.0	0.02291666666666667
131	monteverdi_madrigals	5-04d	2	16	1609.1691322587767	1605	Renaissance	g	i	0.5	0.0	0.021428571428571432
132	monteverdi_madrigals	5-04d	2	16	1609.1691322587767	1605	Renaissance	g	v	0.375	0.125	0.047058823529411764
133	monteverdi_madrigals	5-04d	2	16	1609.1691322587767	1605	Renaissance	g	i	1.0	0.08333333333333333	0.1107125
134	monteverdi_madrigals	5-04d	2	16	1609.1691322587767	1605	Renaissance	g	IV	0.0	0.0	0.07272727272727274
135	monteverdi_madrigals	5-04d	2	16	1609.1691322587767	1605	Renaissance	g	VII	0.0	0.0	0.09230769230769233
136	monteverdi_madrigals	5-04d	2	16	1609.1691322587767	1605	Renaissance	g	v	0.7777777777777778	0.0	0.058823529411764705
137	monteverdi_madrigals	5-04d	2	16	1609.1691322587767	1605	Renaissance	g	i	1.0	0.0	0.010714285714285716
138	monteverdi_madrigals	5-04d	2	16	1609.1691322587767	1605	Renaissance	g	IV	0.0	0.0	0.06666363636363636
139	monteverdi_madrigals	5-04d	2	16	1609.1691322587767	1605	Renaissance	g	VII	0.0	0.0	0.04615384615384616
140	monteverdi_madrigals	5-04d	2	16	1609.1691322587767	1605	Renaissance	g	v	1.0	0.0	0.03529411764705883
141	monteverdi_madrigals	5-04d	2	16	1609.1691322587767	1605	Renaissance	g	IV	0.0	0.0	0.05454545454545456
142	monteverdi_madrigals	5-04d	2	16	1609.1691322587767	1605	Renaissance	g	VII	0.0	0.0	0.06153846153846154
143	monteverdi_madrigals	5-04d	2	16	1609.1691322587767	1605	Renaissance	g	i	1.1666666666666667	0.16666666666666666	0.0639875
144	monteverdi_madrigals	5-04d	2	16	1609.1691322587767	1605	Renaissance	g	IV	0.0	0.0	0.06590909090909092
145	monteverdi_madrigals	5-04d	2	16	1609.1691322587767	1605	Renaissance	g	v	1.0	0.36363636363636365	0.07941176470588236
146	monteverdi_madrigals	5-04d	2	16	1609.1691322587767	1605	Renaissance	g	i	1.3636363636363635	0.18181818181818182	0.05267857142857143
147	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	i	0.5	0.0	0.030512307692307693
148	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	v	0.6666666666666666	0.0	0.025454545454545455
149	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	VII	0.05555555555555555	0.0	0.10077441860465117
150	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	IV	0.0	0.0	0.056818181818181816
151	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	III	0.0	0.25	0.10882352941176471
152	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	iv	1.0	0.0	0.10000000000000002
153	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	VII	0.0	0.0	0.02635581395348837
154	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	i	1.3333333333333333	0.0	0.029743076923076924
155	monteverdi_madrigals	5-04e	2	17	1609.1691322587767	1605	Renaissance	g	IV	0.0	0.0	0.051513636363636366
