	corpus	piece	localkey_mode	corpus_year	piece_year	period	globalkey	r_ilc_olc	r_ilc_ild	corpus_id	piece_id
1653	rachmaninoff_piano	op42_03	minor	1931.0	1931	Late Romantic	d	0.2421354670468301	0.5758199734013421	29	1052
1654	rachmaninoff_piano	op42_04	minor	1931.0	1931	Late Romantic	d	-0.15007107320938975	0.6030753891357575	29	1053
1655	rachmaninoff_piano	op42_05	minor	1931.0	1931	Late Romantic	d	0.194747655090148	-0.2589074950852213	29	1054
1656	rachmaninoff_piano	op42_06	minor	1931.0	1931	Late Romantic	d	0.7751609363371958	0.02711275735314902	29	1055
1657	rachmaninoff_piano	op42_07	minor	1931.0	1931	Late Romantic	d	0.004238792197935219	0.2674794127795612	29	1056
1658	rachmaninoff_piano	op42_08	minor	1931.0	1931	Late Romantic	d	0.028192706799548953	-0.10355872376020878	29	1057
1659	rachmaninoff_piano	op42_09	minor	1931.0	1931	Late Romantic	d	0.15664490401526393	0.10302650471021861	29	1058
1660	rachmaninoff_piano	op42_10	minor	1931.0	1931	Late Romantic	d	-0.13514212974601258	0.26220010373012415	29	1059
1661	rachmaninoff_piano	op42_11	minor	1931.0	1931	Late Romantic	d	-0.20189581035322318	-0.17517818845014443	29	1060
1662	rachmaninoff_piano	op42_12	major	1931.0	1931	Late Romantic	d	-0.036273812505500616	0.6743590486726395	29	1061
1663	rachmaninoff_piano	op42_12	minor	1931.0	1931	Late Romantic	d	0.17874183293913545	0.22638859137698725	29	1061
1664	rachmaninoff_piano	op42_13a	minor	1931.0	1931	Late Romantic	d	-0.08111489716507772	0.32388769738945405	29	1062
1665	rachmaninoff_piano	op42_13b	major	1931.0	1931	Late Romantic	d	0.24359210961044145	0.26274550314955797	29	1063
1666	rachmaninoff_piano	op42_13b	minor	1931.0	1931	Late Romantic	d	0.017838553708368857	0.24217482805650417	29	1063
1667	rachmaninoff_piano	op42_14	major	1931.0	1931	Late Romantic	Db	0.9211606469250155	0.15254256226091512	29	1064
1668	rachmaninoff_piano	op42_15	major	1931.0	1931	Late Romantic	Db	-0.0783326959311556	0.22790548691685203	29	1065
1669	rachmaninoff_piano	op42_16	minor	1931.0	1931	Late Romantic	d	-0.15779349174098628	0.056522270643754265	29	1066
1670	rachmaninoff_piano	op42_17	minor	1931.0	1931	Late Romantic	d	-0.2252098819350721	0.6382760513112538	29	1067
1671	ravel_piano	Ravel_-_Jeux_dEau	major	1903.8101851851852	1901	Late Romantic	E	-0.021853745162883135	0.14007369614986973	30	1068
1672	ravel_piano	Ravel_-_Jeux_dEau	minor	1903.8101851851852	1901	Late Romantic	E	0.07415931655900997	0.5823491903154245	30	1068
1673	ravel_piano	Ravel_-_Miroirs_III._Une_Barque_sur_l'ocean	major	1903.8101851851852	1905	Late Romantic	f#	0.19139877167537636	0.10967031243739021	30	1069
1674	ravel_piano	Ravel_-_Miroirs_III._Une_Barque_sur_l'ocean	minor	1903.8101851851852	1905	Late Romantic	f#	0.3352832909748068	0.31361335560247483	30	1069
1675	ravel_piano	Ravel_-_Miroirs_IV._Alborada_del_gracioso	major	1903.8101851851852	1905	Late Romantic	D	0.24146629546420623	0.2629802714767435	30	1070
1676	ravel_piano	Ravel_-_Miroirs_IV._Alborada_del_gracioso	minor	1903.8101851851852	1905	Late Romantic	D	0.3049138590426291	0.23807215389055097	30	1070
1677	scarlatti_sonatas	K001	major	1741.1259598104884	1739	Baroque	d	0.0	0.1720249011962905	31	1071
1678	scarlatti_sonatas	K001	minor	1741.1259598104884	1739	Baroque	d	0.3488314231863486	0.212948781858038	31	1071
1679	scarlatti_sonatas	K002	major	1741.1259598104884	1739	Baroque	G	-0.05701114676889649	-0.006527525774201751	31	1072
1680	scarlatti_sonatas	K003	major	1741.1259598104884	1739	Baroque	a	-0.058148547651850714	0.06827712791081543	31	1073
1681	scarlatti_sonatas	K003	minor	1741.1259598104884	1739	Baroque	a	-0.036799133258523346	0.5744851491018244	31	1073
1682	scarlatti_sonatas	K004	minor	1741.1259598104884	1739	Baroque	g	-0.2047092944898436	0.3250956726864149	31	1074
1683	scarlatti_sonatas	K005	major	1741.1259598104884	1739	Baroque	d	0.0	0.0	31	1075
1684	scarlatti_sonatas	K005	minor	1741.1259598104884	1739	Baroque	d	-0.17690344641958103	0.5417433265824285	31	1075
1685	scarlatti_sonatas	K006	major	1741.1259598104884	1739	Baroque	F	0.16296968216991284	0.11652079718288964	31	1076
1686	scarlatti_sonatas	K007	major	1741.1259598104884	1739	Baroque	a	-0.09899970347028664	0.36451679723454516	31	1077
1687	scarlatti_sonatas	K007	minor	1741.1259598104884	1739	Baroque	a	-0.03636161815721064	0.2802825089951676	31	1077
1688	scarlatti_sonatas	K008	minor	1741.1259598104884	1739	Baroque	g	0.005194102848858313	0.5120674063520921	31	1078
1689	scarlatti_sonatas	K009	major	1741.1259598104884	1739	Baroque	d	0.0	0.22927697224001894	31	1079
1690	scarlatti_sonatas	K009	minor	1741.1259598104884	1739	Baroque	d	0.06290422629268118	0.1745136552709274	31	1079
1691	scarlatti_sonatas	K010	major	1741.1259598104884	1739	Baroque	d	0.0	0.0	31	1080
1692	scarlatti_sonatas	K010	minor	1741.1259598104884	1739	Baroque	d	0.3896220217402354	0.3079042355833875	31	1080
1693	scarlatti_sonatas	K011	minor	1741.1259598104884	1739	Baroque	c	0.01079647353107423	0.4392102461066603	31	1081
1694	scarlatti_sonatas	K012	major	1741.1259598104884	1739	Baroque	g	0.0	0.0	31	1082
1695	scarlatti_sonatas	K012	minor	1741.1259598104884	1739	Baroque	g	-0.13087186712150747	0.43323924095101246	31	1082
1696	scarlatti_sonatas	K013	major	1741.1259598104884	1739	Baroque	G	0.13885428272840453	0.2714306782768684	31	1083
1697	scarlatti_sonatas	K014	major	1741.1259598104884	1739	Baroque	G	0.24804855450529562	0.05053111411411008	31	1084
1698	scarlatti_sonatas	K014	minor	1741.1259598104884	1739	Baroque	G	-0.21598386509728745	0.005899402374084915	31	1084
1699	scarlatti_sonatas	K017	major	1741.1259598104884	1739	Baroque	F	0.17070634405320567	0.13017119814208902	31	1085
1700	scarlatti_sonatas	K017	minor	1741.1259598104884	1739	Baroque	F	-0.6324555320336759	0.22941573387056163	31	1085
1701	scarlatti_sonatas	K018	minor	1741.1259598104884	1739	Baroque	d	-0.013729566016916845	0.5264329318075806	31	1086
1702	scarlatti_sonatas	K019	major	1741.1259598104884	1739	Baroque	f	-0.0310161403466157	0.2674001344844292	31	1087
1703	scarlatti_sonatas	K019	minor	1741.1259598104884	1739	Baroque	f	-0.09199825123011526	0.34582818277660426	31	1087
1704	scarlatti_sonatas	K020	major	1741.1259598104884	1739	Baroque	E	0.1303421606331869	0.32118156181299573	31	1088
1705	scarlatti_sonatas	K021	major	1741.1259598104884	1739	Baroque	D	0.08842164257082007	0.031741826029595493	31	1089
1706	scarlatti_sonatas	K022	major	1741.1259598104884	1739	Baroque	c	0.0	0.0	31	1090
1707	scarlatti_sonatas	K022	minor	1741.1259598104884	1739	Baroque	c	-0.03634583743689583	0.2997087923169417	31	1090
1708	scarlatti_sonatas	K023	major	1741.1259598104884	1739	Baroque	D	0.0874027057321482	-0.02437023425474174	31	1091
1709	scarlatti_sonatas	K023	minor	1741.1259598104884	1739	Baroque	D	0.0024452509064664886	0.3003663658940962	31	1091
1710	scarlatti_sonatas	K025	minor	1741.1259598104884	1739	Baroque	f#	0.022424456854146388	0.4142638356202933	31	1092
1711	scarlatti_sonatas	K027	major	1741.1259598104884	1739	Baroque	b	0.0	0.13929026550309515	31	1093
1712	scarlatti_sonatas	K027	minor	1741.1259598104884	1739	Baroque	b	-0.09363120761347885	0.26252922108842075	31	1093
1713	scarlatti_sonatas	K031	major	1741.1259598104884	1739	Baroque	g	0.12914817251247696	0.5441019425954461	31	1094
1714	scarlatti_sonatas	K031	minor	1741.1259598104884	1739	Baroque	g	-0.13338343051863102	0.13665770519624906	31	1094
1715	scarlatti_sonatas	K032	minor	1741.1259598104884	1739	Baroque	d	-0.21478220602254966	0.21785607375593688	31	1095
1716	scarlatti_sonatas	K033	major	1741.1259598104884	1739	Baroque	D	0.0	0.0	31	1096
1717	scarlatti_sonatas	K033	minor	1741.1259598104884	1739	Baroque	D	-0.21339501225795382	0.20534986092298577	31	1096
1718	scarlatti_sonatas	K034	major	1741.1259598104884	1739	Baroque	d	0.6320257287002884	0.6320257287002882	31	1097
1719	scarlatti_sonatas	K034	minor	1741.1259598104884	1739	Baroque	d	-0.20055649790057536	0.11072325593257067	31	1097
1720	scarlatti_sonatas	K035	major	1741.1259598104884	1739	Baroque	g	0.7217783844328665	-0.04923628615983912	31	1098
1721	scarlatti_sonatas	K035	minor	1741.1259598104884	1739	Baroque	g	-0.007038589270232787	0.10444939952407148	31	1098
1722	scarlatti_sonatas	K036	major	1741.1259598104884	1739	Baroque	a	-0.04285814836000981	0.007517811029062883	31	1099
1723	scarlatti_sonatas	K036	minor	1741.1259598104884	1739	Baroque	a	-0.02250282335479017	0.5377726086005109	31	1099
1724	scarlatti_sonatas	K037	major	1741.1259598104884	1739	Baroque	c	0.0	0.0	31	1100
1725	scarlatti_sonatas	K037	minor	1741.1259598104884	1739	Baroque	c	-0.06009061165746923	0.480253034518506	31	1100
1726	scarlatti_sonatas	K039	major	1741.1259598104884	1739	Baroque	A	0.1544607651516391	-0.20308304940078753	31	1101
1727	scarlatti_sonatas	K040	minor	1741.1259598104884	1739	Baroque	c	0.0	0.507115688564952	31	1102
1728	scarlatti_sonatas	K044	major	1741.1259598104884	1742	Baroque	F	0.0	0.0	31	1103
1729	scarlatti_sonatas	K044	minor	1741.1259598104884	1742	Baroque	F	-0.32335427114282217	0.5524295124455931	31	1103
1730	scarlatti_sonatas	K046	major	1741.1259598104884	1742	Baroque	E	-0.02401347725381388	0.3244350353885735	31	1104
1731	scarlatti_sonatas	K046	minor	1741.1259598104884	1742	Baroque	E	-0.20742754283095843	0.608209168836988	31	1104
1732	scarlatti_sonatas	K047	major	1741.1259598104884	1742	Baroque	Bb	0.19563780954191126	0.16981911405347105	31	1105
