	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey_mode	max_WL	min_WL	max_OL	min_OL	WL_5th_range	OL_5th_range	corpus_id	piece_id
109	kleine_geistliche_konzerte	op08n05swv286_Der_Herr_ist_gross	1637.9308224442736	1636	Renaissance	pre-Baroque	G	major	7	-2	5	-2	9	7	5	83
110	kleine_geistliche_konzerte	op08n06swv287_O_lieber_Herre_Gott	1637.9308224442736	1636	Renaissance	pre-Baroque	g	minor	7	-4	6	-5	11	11	5	84
111	kleine_geistliche_konzerte	op08n07swv288_Ihr_Heiligen,_lobsinget_dem_Herren	1637.9308224442736	1636	Renaissance	pre-Baroque	D	major	7	-3	6	-2	10	8	5	85
112	kleine_geistliche_konzerte	op08n08swv289_Erhöre_mich,_wenn_ich_rufe	1637.9308224442736	1636	Renaissance	pre-Baroque	e	minor	6	-5	3	-4	11	7	5	86
113	kleine_geistliche_konzerte	op08n09swv290_Wohl_dem,_der_nicht_wandelt_im_Rat_der_Gottlosen	1637.9308224442736	1636	Renaissance	pre-Baroque	g	minor	7	-7	5	-4	14	9	5	87
114	kleine_geistliche_konzerte	op08n10swv291_Schaffe_in_mir,_Gott,_ein_reines_Herz	1637.9308224442736	1636	Renaissance	pre-Baroque	G	major	7	-3	6	-3	10	9	5	88
115	kleine_geistliche_konzerte	op08n11swv292_Der_Herr_schauet_vom_Himmel_auf_der_Menschen_Kinder	1637.9308224442736	1636	Renaissance	pre-Baroque	G	major	7	-3	5	-2	10	7	5	89
116	kleine_geistliche_konzerte	op08n12swv293_Lobet_den_Herren,_der_zu_Zion_wohnet	1637.9308224442736	1636	Renaissance	pre-Baroque	G	major	7	-3	4	-2	10	6	5	90
117	kleine_geistliche_konzerte	op08n13swv294_Eins_bitte_ich_vom_Herren	1637.9308224442736	1636	Renaissance	pre-Baroque	F	major	8	-2	5	-2	10	7	5	91
118	kleine_geistliche_konzerte	op08n14swv295_O_hilf,_Christe_Gottes_Sohn	1637.9308224442736	1636	Renaissance	pre-Baroque	a	minor	5	-7	2	-4	12	6	5	92
119	kleine_geistliche_konzerte	op08n15swv296_Fürchte_dich_nicht	1637.9308224442736	1636	Renaissance	pre-Baroque	d	minor	6	-4	3	-3	10	6	5	93
120	kleine_geistliche_konzerte	op08n16swv297_O_Herr_hilf	1637.9308224442736	1636	Renaissance	pre-Baroque	g	minor	6	-7	4	-4	13	8	5	94
121	kleine_geistliche_konzerte	op08n18swv299_Die_Gottseligkeit_ist_zu_allen_Dingen_nütz	1637.9308224442736	1636	Renaissance	pre-Baroque	e	minor	5	-5	3	-1	10	4	5	95
122	kleine_geistliche_konzerte	op08n19swv300_Himmel_und_Erde_vergehen	1637.9308224442736	1636	Renaissance	pre-Baroque	g	minor	6	-4	3	-3	10	6	5	96
123	kleine_geistliche_konzerte	op08n20swv301_Nun_komm_der_Heiden_Heiland	1637.9308224442736	1636	Renaissance	pre-Baroque	g	minor	6	-7	3	-4	13	7	5	97
124	kleine_geistliche_konzerte	op08n21swv302_Ein_Kind_ist_uns_geboren	1637.9308224442736	1636	Renaissance	pre-Baroque	F	major	8	-5	6	-1	13	7	5	98
125	kleine_geistliche_konzerte	op08n22swv303_Wir_glauben_all_an_einen_Gott	1637.9308224442736	1636	Renaissance	pre-Baroque	d	minor	6	-4	5	-4	10	9	5	99
126	kleine_geistliche_konzerte	op08n23swv304_Siehe,_mein_Fürsprecher_im_Himmel	1637.9308224442736	1636	Renaissance	pre-Baroque	G	major	9	-3	7	-3	12	10	5	100
127	kleine_geistliche_konzerte	op08n24swv305_Ich_hab_mein_Sach_Gott_heimgestellt	1637.9308224442736	1636	Renaissance	pre-Baroque	g	minor	5	-4	6	-4	9	10	5	101
128	kleine_geistliche_konzerte	op09n01swv306_Ich_will_den_Herren_loben_allezeit	1637.9308224442736	1639	Renaissance	pre-Baroque	F	major	9	-2	5	-1	11	6	5	102
129	kleine_geistliche_konzerte	op09n02swv307_Was_hast_du_verwirket	1637.9308224442736	1639	Renaissance	pre-Baroque	d	minor	6	-5	6	-3	11	9	5	103
130	kleine_geistliche_konzerte	op09n03swv308_O_Jesu,_nomen_dulce	1637.9308224442736	1639	Renaissance	pre-Baroque	g	minor	6	-4	5	-3	10	8	5	104
131	kleine_geistliche_konzerte	op09n04swv309_O_misericordissime_Jesu	1637.9308224442736	1639	Renaissance	pre-Baroque	g	minor	7	-5	5	-5	12	10	5	105
132	kleine_geistliche_konzerte	op09n05swv310_Ich_liege_und_schlafe	1637.9308224442736	1639	Renaissance	pre-Baroque	a	minor	5	-5	3	-4	10	7	5	106
133	kleine_geistliche_konzerte	op09n06swv311_Habe_deine_Lust_an_dem_Herren	1637.9308224442736	1639	Renaissance	pre-Baroque	a	minor	5	-5	5	-4	10	9	5	107
134	kleine_geistliche_konzerte	op09n07swv312_Herr,_ich_hoffe_darauf	1637.9308224442736	1639	Renaissance	pre-Baroque	d	minor	6	-4	6	-4	10	10	5	108
135	kleine_geistliche_konzerte	op09n08swv313_Bone_Jesu,_verbum_Patris	1637.9308224442736	1639	Renaissance	pre-Baroque	a	minor	6	-4	4	-4	10	8	5	109
136	kleine_geistliche_konzerte	op09n09swv314_Verbum_caro_factum	1637.9308224442736	1639	Renaissance	pre-Baroque	g	minor	6	-4	4	-3	10	7	5	110
137	kleine_geistliche_konzerte	op09n10swv315_Hodie_Christus_natus_est	1637.9308224442736	1639	Renaissance	pre-Baroque	d	minor	6	-4	6	-3	10	9	5	111
138	kleine_geistliche_konzerte	op09n11swv316_Wann_unsre_Augen_schlafen_ein	1637.9308224442736	1639	Renaissance	pre-Baroque	g	minor	7	-4	3	-5	11	8	5	112
139	kleine_geistliche_konzerte	op09n12swv317_Meister,_wir_haben_die_ganze_Nacht_gearbeitet	1637.9308224442736	1639	Renaissance	pre-Baroque	d	minor	6	-6	4	-3	12	7	5	113
140	kleine_geistliche_konzerte	op09n13swv318_Die_Furcht_des_Herren	1637.9308224442736	1639	Renaissance	pre-Baroque	g	minor	6	-4	3	-3	10	6	5	114
141	kleine_geistliche_konzerte	op09n14swv319_Ich_beuge_meine_Knie_gegen_dem_Vater	1637.9308224442736	1639	Renaissance	pre-Baroque	G	major	7	-3	5	-2	10	7	5	115
142	kleine_geistliche_konzerte	op09n15swv320_Ich_bin_jung_gewesen_und_bin_alt_worden	1637.9308224442736	1639	Renaissance	pre-Baroque	F	major	8	-2	5	-2	10	7	5	116
143	kleine_geistliche_konzerte	op09n16swv321_Herr,_wenn_ich_nur_dich	1637.9308224442736	1639	Renaissance	pre-Baroque	d	minor	5	-5	4	-4	10	8	5	117
144	kleine_geistliche_konzerte	op09n17swv322_Rorate,_rorate_coeli	1637.9308224442736	1639	Renaissance	pre-Baroque	g	minor	6	-4	5	-4	10	9	5	118
145	kleine_geistliche_konzerte	op09n18swv323_Joseph,_du_Sohn_David	1637.9308224442736	1639	Renaissance	pre-Baroque	a	minor	6	-4	3	-6	10	9	5	119
146	kleine_geistliche_konzerte	op09n19swv324_Ich_bin_die_Auferstehung	1637.9308224442736	1639	Renaissance	pre-Baroque	d	minor	6	-6	5	-4	12	9	5	120
147	kleine_geistliche_konzerte	op09n20swv325_Die_Seele_Christi_heilige_mich	1637.9308224442736	1639	Renaissance	pre-Baroque	g	minor	7	-4	3	-5	11	8	5	121
148	kleine_geistliche_konzerte	op09n21swv326_Ich_ruf_zu_dir,_Herr_Jesu_Christ	1637.9308224442736	1639	Renaissance	pre-Baroque	g	minor	6	-4	5	-1	10	6	5	122
149	kleine_geistliche_konzerte	op09n22swv327_Allein_Gott_in_der_Höh	1637.9308224442736	1639	Renaissance	pre-Baroque	G	major	7	-2	7	-2	9	9	5	123
150	kleine_geistliche_konzerte	op09n23swv328_Veni,_Sancte_Spiritus	1637.9308224442736	1639	Renaissance	pre-Baroque	G	major	8	-3	7	-4	11	11	5	124
151	kleine_geistliche_konzerte	op09n24swv329_Ist_Gott_für_uns	1637.9308224442736	1639	Renaissance	pre-Baroque	g	minor	7	-4	5	-5	11	10	5	125
152	kleine_geistliche_konzerte	op09n25swv330_Wer_will_uns_scheiden_von_der_Liebe_Gottes	1637.9308224442736	1639	Renaissance	pre-Baroque	g	minor	6	-4	6	-3	10	9	5	126
153	kleine_geistliche_konzerte	op09n26swv331_Die_Stimm_des_Herren_gehet_auf_den_Wassern	1637.9308224442736	1639	Renaissance	pre-Baroque	d	minor	6	-4	6	-4	10	10	5	127
154	kleine_geistliche_konzerte	op09n27swv332_Jubilate_Deo_omnis_terra	1637.9308224442736	1639	Renaissance	pre-Baroque	F	major	8	-3	8	-1	11	9	5	128
155	kleine_geistliche_konzerte	op09n28swv333_Sei_gegrüßet,_Maria	1637.9308224442736	1639	Renaissance	pre-Baroque	G	major	8	-3	6	-4	11	10	5	129
156	kleine_geistliche_konzerte	op09n29swv334_Ave_Maria,_qualis_est	1637.9308224442736	1639	Renaissance	pre-Baroque	G	major	8	-3	6	-4	11	10	5	130
157	kleine_geistliche_konzerte	op09n30swv335_Was_betrübst_du_dich,_meine_Seele	1637.9308224442736	1639	Renaissance	pre-Baroque	g	minor	6	-7	4	-4	13	8	5	131
158	kleine_geistliche_konzerte	op09n31swv336_Quemadmodum_desiderat_cervus	1637.9308224442736	1639	Renaissance	pre-Baroque	g	minor	8	-6	5	-5	14	10	5	132
159	kleine_geistliche_konzerte	op09n32swv337_Aufer_immensam	1637.9308224442736	1639	Renaissance	pre-Baroque	a	minor	6	-5	5	-6	11	11	5	133
160	corelli	op01n01a	1687.6864702945581	1681	Baroque	Baroque	F	major	6	-1	6	-1	7	7	6	134
161	corelli	op01n01a	1687.6864702945581	1681	Baroque	Baroque	F	minor	5	-7	2	-1	12	3	6	134
162	corelli	op01n01b	1687.6864702945581	1681	Baroque	Baroque	F	major	6	-2	5	-2	8	7	6	135
163	corelli	op01n01b	1687.6864702945581	1681	Baroque	Baroque	F	minor	5	-4	0	-3	9	3	6	135
164	corelli	op01n01c	1687.6864702945581	1681	Baroque	Baroque	F	major	6	-4	2	-1	10	3	6	136
165	corelli	op01n01c	1687.6864702945581	1681	Baroque	Baroque	F	minor	5	-5	5	0	10	5	6	136
166	corelli	op01n01d	1687.6864702945581	1681	Baroque	Baroque	F	major	5	-9	6	-3	14	9	6	137
167	corelli	op01n01d	1687.6864702945581	1681	Baroque	Baroque	F	minor	5	-4	5	-3	9	8	6	137
168	corelli	op01n02a	1687.6864702945581	1681	Baroque	Baroque	e	minor	5	-4	2	-5	9	7	6	138
169	corelli	op01n02a	1687.6864702945581	1681	Baroque	Baroque	e	major	6	-1	5	-1	7	6	6	138
170	corelli	op01n02b	1687.6864702945581	1681	Baroque	Baroque	e	minor	5	-4	3	-5	9	8	6	139
171	corelli	op01n02b	1687.6864702945581	1681	Baroque	Baroque	e	major	5	-1	5	0	6	5	6	139
