	corpus	piece	localkey_mode	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	r_WLC_OLC	r_WLC_WLD	corpus_id	piece_id
55	ABC	n08op59-2_02	major	1812.0509746203827	1806	Classical	Extended tonality	E	0.12525592189593684	0.4300549266054472	1	30
56	ABC	n08op59-2_02	minor	1812.0509746203827	1806	Classical	Extended tonality	E	-0.8509225281635046	0.7219948723811555	1	30
57	ABC	n08op59-2_03	major	1812.0509746203827	1806	Classical	Extended tonality	e	0.18127454418828948	0.27735036602816626	1	31
58	ABC	n08op59-2_03	minor	1812.0509746203827	1806	Classical	Extended tonality	e	0.44717669762333456	0.44057403866735284	1	31
59	ABC	n08op59-2_04	major	1812.0509746203827	1806	Classical	Extended tonality	e	0.10053558169157868	0.2837962188105223	1	32
60	ABC	n08op59-2_04	minor	1812.0509746203827	1806	Classical	Extended tonality	e	-0.09098297533774448	0.4877684506964817	1	32
61	ABC	n09op59-3_01	major	1812.0509746203827	1806	Classical	Extended tonality	C	0.1006081465463486	0.4574351894714609	1	33
62	ABC	n09op59-3_01	minor	1812.0509746203827	1806	Classical	Extended tonality	C	-0.06305033899468401	0.5468918444415833	1	33
63	ABC	n09op59-3_02	major	1812.0509746203827	1806	Classical	Extended tonality	a	-0.035845352920539336	0.4642767410094557	1	34
64	ABC	n09op59-3_02	minor	1812.0509746203827	1806	Classical	Extended tonality	a	-0.11626491907942949	0.5694753938758464	1	34
65	ABC	n09op59-3_03	major	1812.0509746203827	1806	Classical	Extended tonality	C	0.008459939511648733	0.4166962995021492	1	35
66	ABC	n09op59-3_03	minor	1812.0509746203827	1806	Classical	Extended tonality	C	0.03591741468276467	0.40360367639778766	1	35
67	ABC	n09op59-3_04	minor	1812.0509746203827	1806	Classical	Extended tonality	C	0.040225595979279404	0.5174086519094018	1	36
68	ABC	n09op59-3_04	major	1812.0509746203827	1806	Classical	Extended tonality	C	-0.08562411869978322	0.4710669749620299	1	36
69	ABC	n10op74_01	major	1812.0509746203827	1809	Classical	Extended tonality	Eb	0.46111845341975993	0.30703727744240833	1	37
70	ABC	n10op74_01	minor	1812.0509746203827	1809	Classical	Extended tonality	Eb	-0.06166167278299539	0.12844058318439733	1	37
71	ABC	n10op74_02	major	1812.0509746203827	1809	Classical	Extended tonality	Ab	0.2367373617484795	0.46464021989878157	1	38
72	ABC	n10op74_02	minor	1812.0509746203827	1809	Classical	Extended tonality	Ab	-0.01952542496133191	-0.07166276515598025	1	38
73	ABC	n10op74_03	major	1812.0509746203827	1809	Classical	Extended tonality	c	0.0	0.451725024861024	1	39
74	ABC	n10op74_03	minor	1812.0509746203827	1809	Classical	Extended tonality	c	0.3236901496440864	0.4062828685570583	1	39
75	ABC	n10op74_04	major	1812.0509746203827	1809	Classical	Extended tonality	Eb	0.04635428187900674	0.2184775028530853	1	40
76	ABC	n10op74_04	minor	1812.0509746203827	1809	Classical	Extended tonality	Eb	0.0	0.6584724791750252	1	40
77	ABC	n11op95_01	major	1812.0509746203827	1810	Classical	Extended tonality	f	0.49981502542680184	0.21954279086444864	1	41
78	ABC	n11op95_01	minor	1812.0509746203827	1810	Classical	Extended tonality	f	0.20398658072702605	0.5077433730866292	1	41
79	ABC	n11op95_02	major	1812.0509746203827	1810	Classical	Extended tonality	D	0.20951333582661327	0.44059887475952336	1	42
80	ABC	n11op95_02	minor	1812.0509746203827	1810	Classical	Extended tonality	D	-0.4743416490252569	0.5535714285714286	1	42
81	ABC	n11op95_03	major	1812.0509746203827	1810	Classical	Extended tonality	f	0.5155327074033034	0.501011536624349	1	43
82	ABC	n11op95_03	minor	1812.0509746203827	1810	Classical	Extended tonality	f	0.09603437679922618	0.5709393153051692	1	43
83	ABC	n11op95_04	major	1812.0509746203827	1810	Classical	Extended tonality	f	-0.04115588047430705	-0.00411096967622449	1	44
