	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey_mode	max_WL	min_WL	max_OL	min_OL	WLC	OLC	WL_5th_range	OL_5th_range	corpus_id	piece_id	WLC_percentage	OLC_percentage
162	corelli	op01n01b	1687.6864702945581	1681	Baroque	Baroque	F	major	6	-2	5	-2	0.032520325203252036	0.008130081300813009	8	7	6	135	0.7999999999999999	0.19999999999999998
164	corelli	op01n01c	1687.6864702945581	1681	Baroque	Baroque	F	major	6	-4	2	-1	0.5	0.0	10	3	6	136	1.0	0.0
166	corelli	op01n01d	1687.6864702945581	1681	Baroque	Baroque	F	major	5	-9	6	-3	0.19827586206896552	0.04310344827586207	14	9	6	137	0.8214285714285714	0.17857142857142858
169	corelli	op01n02a	1687.6864702945581	1681	Baroque	Baroque	e	major	6	-1	5	-1	0.1111111111111111	0.0	7	6	6	138	1.0	0.0
171	corelli	op01n02b	1687.6864702945581	1681	Baroque	Baroque	e	major	5	-1	5	0	0.0	0.0	6	5	6	139	0.0	0.0
173	corelli	op01n02c	1687.6864702945581	1681	Baroque	Baroque	e	major	5	-1	0	0	0.0	0.0	6	0	6	140	0.0	0.0
175	corelli	op01n02d	1687.6864702945581	1681	Baroque	Baroque	e	major	6	-1	5	-1	0.07407407407407407	0.0	7	6	6	141	1.0	0.0
176	corelli	op01n03a	1687.6864702945581	1681	Baroque	Baroque	A	major	5	-1	6	-1	0.0	0.017241379310344827	6	7	6	142	0.0	1.0
178	corelli	op01n03b	1687.6864702945581	1681	Baroque	Baroque	A	major	6	-3	6	-1	0.07547169811320754	0.0047169811320754715	9	7	6	143	0.9411764705882353	0.058823529411764705
181	corelli	op01n03c	1687.6864702945581	1681	Baroque	Baroque	A	major	6	-2	4	-2	0.06382978723404255	0.02127659574468085	8	6	6	144	0.75	0.25
182	corelli	op01n03d	1687.6864702945581	1681	Baroque	Baroque	A	major	6	-1	5	-2	0.024390243902439025	0.024390243902439025	7	7	6	145	0.5	0.5
185	corelli	op01n04a	1687.6864702945581	1681	Baroque	Baroque	a	major	5	-3	5	-1	0.13333333333333333	0.0	8	6	6	146	1.0	0.0
188	corelli	op01n04c	1687.6864702945581	1681	Baroque	Baroque	a	major	6	-3	8	-1	0.2	0.2	9	9	6	148	0.5	0.5
190	corelli	op01n04d	1687.6864702945581	1681	Baroque	Baroque	a	major	5	-1	5	-1	0.0	0.0	6	6	6	149	0.0	0.0
191	corelli	op01n05a	1687.6864702945581	1681	Baroque	Baroque	Bb	major	5	-1	5	0	0.0	0.0	6	5	6	150	0.0	0.0
193	corelli	op01n05b	1687.6864702945581	1681	Baroque	Baroque	Bb	major	6	-1	6	-1	0.04065040650406504	0.008130081300813009	7	7	6	151	0.8333333333333333	0.16666666666666669
196	corelli	op01n05c	1687.6864702945581	1681	Baroque	Baroque	Bb	major	6	-3	4	0	0.14285714285714285	0.0	9	4	6	152	1.0	0.0
197	corelli	op01n05d	1687.6864702945581	1681	Baroque	Baroque	Bb	major	6	-3	5	-1	0.04878048780487805	0.0	9	6	6	153	1.0	0.0
201	corelli	op01n06b	1687.6864702945581	1681	Baroque	Baroque	b	major	5	-1	5	-1	0.0	0.0	6	6	6	155	0.0	0.0
203	corelli	op01n06c	1687.6864702945581	1681	Baroque	Baroque	b	major	5	-1	5	-1	0.0	0.0	6	6	6	156	0.0	0.0
