	corpus	corpus_year	localkey_mode	corpus_id	WLC	OLC	WLD
28	mozart_piano_sonatas	1780.7395798599532	major	16	0.30874477641550996	0.33188424215844753	1.167867789109496
29	mozart_piano_sonatas	1780.7395798599532	minor	16	1.6193952353814263	0.6007762535233332	1.3290877625755388
30	pleyel_quartets	1783.0	major	17	0.32191222130237357	0.16064645490393084	1.2279762545414468
31	pleyel_quartets	1783.0	minor	17	1.408327040092043	0.4985374195663681	1.2675689892074526
32	beethoven_piano_sonatas	1803.6208098935329	minor	18	1.6859558731280708	0.5820565273082836	1.379845607735567
33	beethoven_piano_sonatas	1803.6208098935329	major	18	0.6016804458119619	0.4252147732098319	1.3053851995024495
34	kozeluh_sonatas	1806.0	major	19	0.210517811625226	0.20075706453291606	1.1478899494696793
35	kozeluh_sonatas	1806.0	minor	19	1.4388719822925842	0.3309524986934661	1.2579093121937162
36	ABC	1812.0509746203827	major	20	0.4695146817635965	0.31682936500633635	1.2880076752555971
37	ABC	1812.0509746203827	minor	20	1.658443542059674	0.6682811970245073	1.293489014325154
38	schubert_winterreise	1828.0	minor	21	1.5831775043556227	0.1404640442214117	1.2746694987480336
39	schubert_winterreise	1828.0	major	21	0.7848727793443459	0.10021059015416363	1.3452573889621766
40	mendelssohn_quartets	1835.8707229487093	major	22	0.7584568333809633	0.1303161077057162	1.4141921402221902
41	mendelssohn_quartets	1835.8707229487093	minor	22	1.4024362970481492	0.24714146914409094	1.4197503713683146
42	chopin_mazurkas	1838.2307692307693	major	23	0.7583763126945824	0.9484377450830087	1.6007406836111076
43	chopin_mazurkas	1838.2307692307693	minor	23	1.8180657266995885	0.49237972889714104	1.5049961642655745
44	schumann_kinderszenen	1839.0	major	24	0.4284182139650187	0.0772881216266533	1.4361017350511671
45	schumann_kinderszenen	1839.0	minor	24	1.297368942256982	0.26196366102662955	1.3837415416715604
46	schumann_liederkreis	1840.0	minor	25	1.1033056980425402	0.2699067873409979	1.2756224748330012
47	schumann_liederkreis	1840.0	major	25	0.5661245452703675	0.2798233613290682	1.4627921727671305
48	c_schumann_lieder	1847.2645259938838	major	26	0.8614199358486738	0.07386309376486595	1.5488660613576184
49	c_schumann_lieder	1847.2645259938838	minor	26	1.2870370370370372	0.0	1.482037037037037
50	liszt_pelerinage	1857.079674150606	major	27	1.3489908862264772	1.8373485765104025	1.5504189798058758
51	liszt_pelerinage	1857.079674150606	minor	27	2.1638791581188808	2.470054429373207	1.6368512314480836
52	wagner_overtures	1864.990230286113	minor	28	3.313953488372093	0.8178294573643411	2.1093023255813956
53	wagner_overtures	1864.990230286113	major	28	1.4278091478902837	0.36239789485225593	1.7341986002229408
54	tchaikovsky_seasons	1876.0	major	29	0.8074509735425539	1.5830644895362393	1.566952379384497
55	tchaikovsky_seasons	1876.0	minor	29	1.469787422337154	0.6318250118607259	1.461690476817921
56	dvorak_silhouettes	1879.0	minor	30	1.194650250990478	0.26882054610243494	1.1866858205920892
57	dvorak_silhouettes	1879.0	major	30	0.42834682269037905	4.987892445653272	1.3148364547076776
58	grieg_lyric_pieces	1890.3354624738975	major	31	1.0033412555620245	0.7415914471138102	1.620008250741607
59	grieg_lyric_pieces	1890.3354624738975	minor	31	1.7715899148517624	0.49511482641470556	1.5761196251888503
60	ravel_piano	1903.8101851851852	major	32	2.7777136615882654	0.8447028551413202	2.5417248452479675
61	ravel_piano	1903.8101851851852	minor	32	2.541574530417455	0.8773900767697969	2.8688680983702817
