	corpus	piece	corpus_year	piece_year	globalkey	localkey_mode	max_wl	min_wl	max_ol	min_ol	WLC	OLC	wl_fifths_range	ol_fifths_range	corpus_id	piece_id
64	frescobaldi_fiori_musicali	12.05_Christe,_Tema_B,_alio_modo	1635.0	1635	d	minor	6	-11	3	-3	0.9347826086956522	0.15217391304347827	17	6	4	65
65	frescobaldi_fiori_musicali	12.06_Christe,_Tema_B,_alio_modo_II	1635.0	1635	d	minor	5	-4	3	-3	0.32608695652173914	0.13043478260869565	9	6	4	66
66	frescobaldi_fiori_musicali	12.07_Christe,_Tema_B,_alio_modo_III	1635.0	1635	d	minor	4	-4	5	-3	0.4	0.14285714285714285	8	8	4	67
67	frescobaldi_fiori_musicali	12.08_Kyrie,_Tema_C	1635.0	1635	d	minor	4	-4	2	-4	0.2962962962962963	0.0	8	6	4	68
68	frescobaldi_fiori_musicali	12.09_Kyrie,_Tema_D,_alio_modo_I	1635.0	1635	d	minor	6	-4	4	-3	0.38095238095238093	0.14285714285714285	10	7	4	69
69	frescobaldi_fiori_musicali	12.10_Kyrie,_Tema_D,_alio_modo_II	1635.0	1635	d	minor	6	-4	3	-4	0.6923076923076923	0.07692307692307693	10	7	4	70
70	frescobaldi_fiori_musicali	12.11_Kyrie_ultimo	1635.0	1635	d	minor	6	-4	5	-3	0.8461538461538461	0.2	10	8	4	71
71	frescobaldi_fiori_musicali	12.12_Kyrie,_Tema_D,_alio_modo_III	1635.0	1635	d	minor	6	-4	3	-2	0.9523809523809523	0.011904761904761904	10	5	4	72
72	frescobaldi_fiori_musicali	12.13_Kyrie,_Tema_D,_alio_modo_IV	1635.0	1635	d	minor	5	-4	5	-1	0.8958333333333334	0.16666666666666666	9	6	4	73
73	frescobaldi_fiori_musicali	12.14_Canzon_dopo_l’Epistola	1635.0	1635	d	minor	6	-4	5	-4	1.09478672985782	0.15639810426540285	10	9	4	74
74	frescobaldi_fiori_musicali	12.15_Recercar_dopo_il_Credo	1635.0	1635	g	minor	6	-4	4	-4	0.8395061728395061	0.13580246913580246	10	8	4	75
75	frescobaldi_fiori_musicali	12.16_Toccata_cromaticha_per_l’elevatione	1635.0	1635	a	minor	5	-6	5	-4	1.0251256281407035	0.035175879396984924	11	9	4	76
76	frescobaldi_fiori_musicali	12.17_Canzon_post_il_Comune	1635.0	1635	C	major	8	-2	6	-1	0.18779342723004694	0.028169014084507043	10	7	4	77
77	frescobaldi_fiori_musicali	12.18_Toccata_avanti_la_Messa_delli_Apostoli	1635.0	1635	d	minor	5	-5	5	-4	0.7567567567567568	0.28378378378378377	10	9	4	78
78	frescobaldi_fiori_musicali	12.19_Kyrie,_Tema_E_1	1635.0	1635	d	minor	6	-11	4	-4	1.2826086956521738	0.10869565217391304	17	8	4	79
79	frescobaldi_fiori_musicali	12.20_Kyrie,_Tema_E_2	1635.0	1635	d	minor	6	-3	3	-4	0.9206349206349206	0.047619047619047616	9	7	4	80
80	frescobaldi_fiori_musicali	12.21_Kyrie,_Tema_E_3	1635.0	1635	d	minor	6	-4	4	-3	0.7111111111111111	0.4	10	7	4	81
81	frescobaldi_fiori_musicali	12.22_Christe,_Tema_F_1	1635.0	1635	d	minor	5	-4	3	-2	0.18604651162790697	0.11627906976744186	9	5	4	82
82	frescobaldi_fiori_musicali	12.23_Christe,_Tema_F_2	1635.0	1635	d	minor	5	-4	3	-3	0.6730769230769231	0.057692307692307696	9	6	4	83
83	frescobaldi_fiori_musicali	12.24_Kyrie,_Tema_G_1	1635.0	1635	d	minor	6	-4	3	-3	0.45098039215686275	0.0784313725490196	10	6	4	84
84	frescobaldi_fiori_musicali	12.25_Kyrie,_Tema_G_2	1635.0	1635	d	minor	6	-4	5	-2	0.4461538461538462	0.26153846153846155	10	7	4	85
85	frescobaldi_fiori_musicali	12.26_Kyrie,_Tema_H	1635.0	1635	d	minor	5	-4	4	-3	0.6825396825396826	0.23809523809523808	9	7	4	86
86	frescobaldi_fiori_musicali	12.27_Canzon_dopo_l'Epistola	1635.0	1635	C	major	8	-3	7	-1	0.23557692307692307	0.019230769230769232	11	8	4	87
87	frescobaldi_fiori_musicali	12.28_Toccata_avanti_il_Recercar	1635.0	1635	d	minor	6	-7	6	-3	1.3833333333333333	0.21666666666666667	13	9	4	88
88	frescobaldi_fiori_musicali	12.29_Recercar_cromaticho_post_il_Credo	1635.0	1635	d	minor	6	-11	5	-4	1.0532786885245902	0.14754098360655737	17	9	4	89
89	frescobaldi_fiori_musicali	12.30_Alto_recercar	1635.0	1635	g	minor	6	-4	5	-4	0.5573248407643312	0.16878980891719744	10	9	4	90
90	frescobaldi_fiori_musicali	12.32_Recercar_con_obligo_del_Basso_come_appare	1635.0	1635	C	major	14	-4	7	-2	0.655367231638418	0.05649717514124294	18	9	4	91
