	corpus	piece	localkey_mode	corpus_id	piece_id	corpus_year	piece_year	period	globalkey	r_ilc_olc	r_ilc_ild
105	kleine_geistliche_konzerte	op08n01swv282_Eile_mich,_Gott,_zu_erretten	minor	5	1	1637.9308224442736	1636	Renaissance	d	0.12910902645935313	-0.07164449077246754
106	kleine_geistliche_konzerte	op08n02swv283_Bringt_her_dem_Herren	major	5	2	1637.9308224442736	1636	Renaissance	C	0.0	0.20298894234355783
107	kleine_geistliche_konzerte	op08n03swv284_Ich_danke_dem_Herrn_von_ganzem_Herzen	minor	5	3	1637.9308224442736	1636	Renaissance	g	-0.11564357853957632	-0.024272421104181083
108	kleine_geistliche_konzerte	op08n04swv285_O_süsser,_o_freundlicher	minor	5	4	1637.9308224442736	1636	Renaissance	g	-0.04228858519548952	-0.02614906899276412
109	kleine_geistliche_konzerte	op08n05swv286_Der_Herr_ist_gross	major	5	5	1637.9308224442736	1636	Renaissance	G	-0.1141130150704844	0.12389155043536171
110	kleine_geistliche_konzerte	op08n06swv287_O_lieber_Herre_Gott	minor	5	6	1637.9308224442736	1636	Renaissance	g	0.054142684230071264	0.12456645018521288
111	kleine_geistliche_konzerte	op08n07swv288_Ihr_Heiligen,_lobsinget_dem_Herren	major	5	7	1637.9308224442736	1636	Renaissance	D	-0.13152026256796367	0.18642391777134815
112	kleine_geistliche_konzerte	op08n08swv289_Erhöre_mich,_wenn_ich_rufe	minor	5	8	1637.9308224442736	1636	Renaissance	e	0.1385414396157396	0.2149920694041336
113	kleine_geistliche_konzerte	op08n09swv290_Wohl_dem,_der_nicht_wandelt_im_Rat_der_Gottlosen	minor	5	9	1637.9308224442736	1636	Renaissance	g	0.3786934218525493	0.20518808785260137
114	kleine_geistliche_konzerte	op08n10swv291_Schaffe_in_mir,_Gott,_ein_reines_Herz	major	5	10	1637.9308224442736	1636	Renaissance	G	-0.05280323564073483	-0.0053809788806391395
115	kleine_geistliche_konzerte	op08n11swv292_Der_Herr_schauet_vom_Himmel_auf_der_Menschen_Kinder	major	5	11	1637.9308224442736	1636	Renaissance	G	-0.07042952122737635	0.06781612378984805
116	kleine_geistliche_konzerte	op08n12swv293_Lobet_den_Herren,_der_zu_Zion_wohnet	major	5	12	1637.9308224442736	1636	Renaissance	G	-0.06225528645716914	0.2709846906543635
117	kleine_geistliche_konzerte	op08n13swv294_Eins_bitte_ich_vom_Herren	major	5	13	1637.9308224442736	1636	Renaissance	F	-0.03789253072322254	0.1737012753965775
118	kleine_geistliche_konzerte	op08n14swv295_O_hilf,_Christe_Gottes_Sohn	minor	5	14	1637.9308224442736	1636	Renaissance	a	0.0	0.20338807520210572
119	kleine_geistliche_konzerte	op08n15swv296_Fürchte_dich_nicht	minor	5	15	1637.9308224442736	1636	Renaissance	d	0.00012603970444507447	0.013691982408817015
120	kleine_geistliche_konzerte	op08n16swv297_O_Herr_hilf	minor	5	16	1637.9308224442736	1636	Renaissance	g	0.2667354580193461	0.22016401637962793
121	kleine_geistliche_konzerte	op08n18swv299_Die_Gottseligkeit_ist_zu_allen_Dingen_nütz	minor	5	17	1637.9308224442736	1636	Renaissance	e	0.334241928645593	0.08030711379995886
122	kleine_geistliche_konzerte	op08n19swv300_Himmel_und_Erde_vergehen	minor	5	18	1637.9308224442736	1636	Renaissance	g	0.0005898088562281675	0.0
123	kleine_geistliche_konzerte	op08n20swv301_Nun_komm_der_Heiden_Heiland	minor	5	19	1637.9308224442736	1636	Renaissance	g	-0.16728440036645	0.30461262533946065
124	kleine_geistliche_konzerte	op08n21swv302_Ein_Kind_ist_uns_geboren	major	5	20	1637.9308224442736	1636	Renaissance	F	0.09376396608090112	0.22842618675381673
125	kleine_geistliche_konzerte	op08n22swv303_Wir_glauben_all_an_einen_Gott	minor	5	21	1637.9308224442736	1636	Renaissance	d	0.05632576319683857	0.1271541297681186
