	corpus	piece	corpus_year	piece_year	period	globalkey	localkey_mode	total_WLD	chord_num	avg_WLD	corpus_id	piece_id
65	frescobaldi_fiori_musicali	12.34_Toccata_avanti_la_Messa_della_Madonna	1635.0	1635	Renaissance	d	minor	10.5333	38	0.2771921052631579	4	66
66	frescobaldi_fiori_musicali	12.35_Kyrie,_Tema_I	1635.0	1635	Renaissance	d	minor	10.799900000000001	42	0.2571404761904762	4	67
67	frescobaldi_fiori_musicali	12.36_Kyrie,_Tema_K	1635.0	1635	Renaissance	d	minor	10.9499	46	0.23804130434782608	4	68
68	frescobaldi_fiori_musicali	12.37_Christe,_Tema_L	1635.0	1635	Renaissance	d	minor	15.6498	61	0.25655409836065574	4	69
69	frescobaldi_fiori_musicali	12.38_Christe,_Tema_M	1635.0	1635	Renaissance	d	minor	10.4498	40	0.261245	4	70
70	frescobaldi_fiori_musicali	12.39_Kyrie,_Tema_N	1635.0	1635	Renaissance	d	minor	7.733300000000001	34	0.22745	4	71
71	frescobaldi_fiori_musicali	12.40_Kyrie,_Tema_O	1635.0	1635	Renaissance	d	minor	12.9666	53	0.24465283018867923	4	72
72	frescobaldi_fiori_musicali	12.41_Canzon_dopo_l'Epistola	1635.0	1635	Renaissance	g	minor	27.616600000000002	126	0.21917936507936508	4	73
73	frescobaldi_fiori_musicali	12.42_Recercar_dopo_il_Credo	1635.0	1635	Renaissance	g	minor	35.9332	156	0.23034102564102563	4	74
74	frescobaldi_fiori_musicali	12.43_Toccata_avanti_il_Recercar	1635.0	1635	Renaissance	a	minor	9.280000000000001	38	0.24421052631578952	4	75
75	frescobaldi_fiori_musicali	12.44_Recercar_con_obligo_di_cantare_la_quinta_parte_non_senza_toccarla	1635.0	1635	Renaissance	a	minor	49.5327	201	0.24643134328358207	4	76
76	frescobaldi_fiori_musicali	12.46_Bergamasca	1635.0	1635	Renaissance	G	major	98.66550000000001	412	0.23947936893203886	4	77
77	frescobaldi_fiori_musicali	12.47_Capriccio_sopra_la_Girolmeta	1635.0	1635	Renaissance	G	major	95.9321	372	0.2578819892473118	4	78
78	kleine_geistliche_konzerte	op08n01swv282_Eile_mich,_Gott,_zu_erretten	1637.9308224442736	1636	Renaissance	d	minor	20.0166	84	0.23829285714285714	5	79
79	kleine_geistliche_konzerte	op08n02swv283_Bringt_her_dem_Herren	1637.9308224442736	1636	Renaissance	C	major	38.1998	176	0.2170443181818182	5	80
80	kleine_geistliche_konzerte	op08n03swv284_Ich_danke_dem_Herrn_von_ganzem_Herzen	1637.9308224442736	1636	Renaissance	g	minor	51.9666	237	0.21926835443037976	5	81
81	kleine_geistliche_konzerte	op08n04swv285_O_süsser,_o_freundlicher	1637.9308224442736	1636	Renaissance	g	minor	42.5332	193	0.22037927461139897	5	82
82	kleine_geistliche_konzerte	op08n05swv286_Der_Herr_ist_gross	1637.9308224442736	1636	Renaissance	G	major	29.199900000000003	139	0.21007122302158276	5	83
83	kleine_geistliche_konzerte	op08n06swv287_O_lieber_Herre_Gott	1637.9308224442736	1636	Renaissance	g	minor	43.999700000000004	199	0.22110402010050254	5	84
84	kleine_geistliche_konzerte	op08n07swv288_Ihr_Heiligen,_lobsinget_dem_Herren	1637.9308224442736	1636	Renaissance	D	major	31.133300000000002	145	0.21471241379310346	5	85
85	kleine_geistliche_konzerte	op08n08swv289_Erhöre_mich,_wenn_ich_rufe	1637.9308224442736	1636	Renaissance	e	minor	32.5163	128	0.25403359375	5	86
86	kleine_geistliche_konzerte	op08n09swv290_Wohl_dem,_der_nicht_wandelt_im_Rat_der_Gottlosen	1637.9308224442736	1636	Renaissance	g	minor	52.8331	242	0.2183185950413223	5	87
87	kleine_geistliche_konzerte	op08n10swv291_Schaffe_in_mir,_Gott,_ein_reines_Herz	1637.9308224442736	1636	Renaissance	G	major	22.0	104	0.21153846153846154	5	88
88	kleine_geistliche_konzerte	op08n11swv292_Der_Herr_schauet_vom_Himmel_auf_der_Menschen_Kinder	1637.9308224442736	1636	Renaissance	G	major	27.4666	135	0.2034562962962963	5	89
89	kleine_geistliche_konzerte	op08n12swv293_Lobet_den_Herren,_der_zu_Zion_wohnet	1637.9308224442736	1636	Renaissance	G	major	31.5332	137	0.23016934306569345	5	90
90	kleine_geistliche_konzerte	op08n13swv294_Eins_bitte_ich_vom_Herren	1637.9308224442736	1636	Renaissance	F	major	36.35	165	0.2203030303030303	5	91
91	kleine_geistliche_konzerte	op08n14swv295_O_hilf,_Christe_Gottes_Sohn	1637.9308224442736	1636	Renaissance	a	minor	26.0833	121	0.21556446280991737	5	92
92	kleine_geistliche_konzerte	op08n15swv296_Fürchte_dich_nicht	1637.9308224442736	1636	Renaissance	d	minor	34.6	167	0.20718562874251498	5	93
93	kleine_geistliche_konzerte	op08n16swv297_O_Herr_hilf	1637.9308224442736	1636	Renaissance	g	minor	44.633	170	0.2625470588235294	5	94
94	kleine_geistliche_konzerte	op08n18swv299_Die_Gottseligkeit_ist_zu_allen_Dingen_nütz	1637.9308224442736	1636	Renaissance	e	minor	16.7498	73	0.22944931506849317	5	95
95	kleine_geistliche_konzerte	op08n19swv300_Himmel_und_Erde_vergehen	1637.9308224442736	1636	Renaissance	g	minor	18.2	91	0.19999999999999998	5	96
96	kleine_geistliche_konzerte	op08n20swv301_Nun_komm_der_Heiden_Heiland	1637.9308224442736	1636	Renaissance	g	minor	39.199600000000004	165	0.23757333333333336	5	97
97	kleine_geistliche_konzerte	op08n21swv302_Ein_Kind_ist_uns_geboren	1637.9308224442736	1636	Renaissance	F	major	71.3165	276	0.258393115942029	5	98
98	kleine_geistliche_konzerte	op08n22swv303_Wir_glauben_all_an_einen_Gott	1637.9308224442736	1636	Renaissance	d	minor	64.59960000000001	281	0.22989181494661926	5	99
99	kleine_geistliche_konzerte	op08n23swv304_Siehe,_mein_Fürsprecher_im_Himmel	1637.9308224442736	1636	Renaissance	G	major	41.1997	172	0.23953313953488373	5	100
100	kleine_geistliche_konzerte	op08n24swv305_Ich_hab_mein_Sach_Gott_heimgestellt	1637.9308224442736	1636	Renaissance	g	minor	127.74980000000001	573	0.22294904013961606	5	101
101	kleine_geistliche_konzerte	op09n01swv306_Ich_will_den_Herren_loben_allezeit	1637.9308224442736	1639	Renaissance	F	major	46.3498	218	0.2126137614678899	5	102
102	kleine_geistliche_konzerte	op09n02swv307_Was_hast_du_verwirket	1637.9308224442736	1639	Renaissance	d	minor	45.7494	184	0.24863804347826088	5	103
103	kleine_geistliche_konzerte	op09n03swv308_O_Jesu,_nomen_dulce	1637.9308224442736	1639	Renaissance	g	minor	35.4665	149	0.2380302013422819	5	104
104	kleine_geistliche_konzerte	op09n04swv309_O_misericordissime_Jesu	1637.9308224442736	1639	Renaissance	g	minor	39.1999	181	0.21657403314917126	5	105
