pitches	interval_class	rating
53,59,62,65	3,3,6	2.767
53,59,63,64	1,1,2,4,5,6	1.433
52,58,62,64	2,4,6	2
52,58,63,64	1,5,6	1.5
54,61,62,63	1,1,2,3,4,5	1.3
53,60,61,63	1,2,2,3,4,5	2.1
53,60,61,64	1,1,3,4,4,5	1.967
53,60,61,65	1,4,5	2.8
53,60,62,63	1,2,2,3,3,5	1.833
53,60,62,64	1,2,2,3,4,5	2.2
53,60,62,65	2,3,5	3.033
52,59,62,63	1,1,2,3,4,5	1.567
52,59,62,64	2,3,5	2.433
52,59,63,64	1,4,5	2.267
53,61,62,63	1,1,2,2,3,4	1.233
53,61,62,64	1,1,2,3,3,4	1.467
52,60,61,64	1,3,4	1.333
52,60,62,63	1,1,2,2,3,4	1.267
52,60,62,64	2,2,4	2.233
52,60,63,64	1,3,4	1.5
52,61,62,63	1,1,1,2,2,3	1.167
52,61,62,64	1,2,3	1.667
51,60,62,63	1,2,3	1.867
51,61,62,63	1,1,2	1.333
