	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey	localkey_mode	WLC	OLC	corpus_id	piece_id
62	monteverdi_madrigals	4-20	1609.1691322587767	1603	Renaissance	pre-Baroque	d	iv	minor	1.0	0.5833333333333334	2	11
63	monteverdi_madrigals	4-20	1609.1691322587767	1603	Renaissance	pre-Baroque	d	i	minor	1.1538461538461537	0.0	2	11
64	monteverdi_madrigals	4-20	1609.1691322587767	1603	Renaissance	pre-Baroque	d	v	minor	0.4492753623188406	0.057971014492753624	2	11
65	monteverdi_madrigals	4-20	1609.1691322587767	1603	Renaissance	pre-Baroque	d	i	minor	0.88	0.04	2	11
66	monteverdi_madrigals	4-20	1609.1691322587767	1603	Renaissance	pre-Baroque	d	v	minor	0.5454545454545454	0.0	2	11
67	monteverdi_madrigals	4-20	1609.1691322587767	1603	Renaissance	pre-Baroque	d	i	minor	0.5	0.0	2	11
68	monteverdi_madrigals	4-20	1609.1691322587767	1603	Renaissance	pre-Baroque	d	iv	minor	1.5	0.0	2	11
69	monteverdi_madrigals	4-20	1609.1691322587767	1603	Renaissance	pre-Baroque	d	i	minor	0.9090909090909091	0.0	2	11
70	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	I	major	0.0	0.0	2	12
71	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	IV	major	0.044444444444444446	0.022222222222222223	2	12
72	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	I	major	0.0	0.0	2	12
73	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	v	minor	0.6153846153846154	0.0	2	12
74	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	IV	major	0.25	0.0	2	12
75	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	I	major	0.0	0.0	2	12
76	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	IV	major	0.0	0.0	2	12
77	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	I	major	0.0	0.0	2	12
78	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	v	minor	0.7	0.1	2	12
79	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	IV	major	0.0	0.0	2	12
80	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	v	minor	1.0	0.0	2	12
81	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	I	major	0.1	0.0	2	12
