2023-11-27 16:10:23,794 - WARNING - ('platti_sonatas', 'platti_op01no05a_Larghetto_e_staccato')
2023-11-27 16:10:23,794 - WARNING - ('platti_sonatas', 'platti_op01no05b_Non_tanto_Allegro')
2023-11-27 16:10:23,794 - WARNING - ('platti_sonatas', 'platti_op01no05c_Siciliana')
2023-11-27 16:10:23,794 - WARNING - ('platti_sonatas', 'platti_op01no05d_Presto')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op01no06a_Adagio')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op01no06b_Allegretto')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op01no06c_Grave')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op01no06d_Minuet_con_Variazioni')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no01a_Non_tanto_Allegro')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no01b_Presto')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no01c_Andantino_e_staccato')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no01d_Minuetto')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no02a_Allegro')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no02b_Adagio')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no02c_Allegro')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no02d_Allegro')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no03a_Allegro')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no03b_Andantino')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no03c_Allegro_assai')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no04a_Allegro')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no04b_Adagio')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no04c_Allegro_assai')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no05a_Adagio')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no05b_Allegro')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no05c_Allegro')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no06a_Non_tanto_Allegro')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no06b_Larghetto')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no06c_Polonoise')
2023-11-27 16:10:23,795 - WARNING - ('platti_sonatas', 'platti_op04no06d_Allegro')
2023-11-27 16:10:23,795 - WARNING - ('rachmaninoff_piano', 'op42_18')
2023-11-27 16:10:23,795 - WARNING - ('rachmaninoff_piano', 'op42_19')
2023-11-27 16:10:23,795 - WARNING - ('rachmaninoff_piano', 'op42_20')
2023-11-27 16:10:23,795 - WARNING - ('ravel_piano', 'Ravel_-_Miroirs_I._Noctuelles')
2023-11-27 16:10:23,795 - WARNING - ('ravel_piano', 'Ravel_-_Miroirs_II._Oiseaux_tristes')
2023-11-27 16:27:05,772 - WARNING - Unannotated pieces ===============================:
2023-11-27 16:27:05,772 - WARNING - ('beethoven_piano_sonatas', '04-1')
2023-11-27 16:27:05,772 - WARNING - ('beethoven_piano_sonatas', '04-2')
2023-11-27 16:27:05,772 - WARNING - ('beethoven_piano_sonatas', '04-3')
2023-11-27 16:27:05,772 - WARNING - ('beethoven_piano_sonatas', '04-4')
2023-11-27 16:27:05,772 - WARNING - ('beethoven_piano_sonatas', '11-1')
2023-11-27 16:27:05,772 - WARNING - ('beethoven_piano_sonatas', '11-2')
2023-11-27 16:27:05,772 - WARNING - ('beethoven_piano_sonatas', '11-3')
2023-11-27 16:27:05,772 - WARNING - ('beethoven_piano_sonatas', '11-4')
2023-11-27 16:27:05,772 - WARNING - ('beethoven_piano_sonatas', '12-1')
2023-11-27 16:27:05,772 - WARNING - ('beethoven_piano_sonatas', '12-2')
2023-11-27 16:27:05,772 - WARNING - ('beethoven_piano_sonatas', '12-3')
2023-11-27 16:27:05,772 - WARNING - ('beethoven_piano_sonatas', '12-4')
2023-11-27 16:27:05,773 - WARNING - ('beethoven_piano_sonatas', '13-1')
2023-11-27 16:27:05,773 - WARNING - ('beethoven_piano_sonatas', '13-2')
2023-11-27 16:27:05,773 - WARNING - ('beethoven_piano_sonatas', '13-3')
2023-11-27 16:27:05,773 - WARNING - ('beethoven_piano_sonatas', '13-4')
2023-11-27 16:27:05,773 - WARNING - ('beethoven_piano_sonatas', '14-1')
2023-11-27 16:27:05,773 - WARNING - ('beethoven_piano_sonatas', '14-2')
2023-11-27 16:27:05,773 - WARNING - ('beethoven_piano_sonatas', '14-3')
2023-11-27 16:27:05,773 - WARNING - ('beethoven_piano_sonatas', '15-1')
2023-11-27 16:27:05,773 - WARNING - ('beethoven_piano_sonatas', '15-2')
2023-11-27 16:27:05,773 - WARNING - ('beethoven_piano_sonatas', '15-3')
2023-11-27 16:27:05,773 - WARNING - ('beethoven_piano_sonatas', '15-4')
2023-11-27 16:27:05,773 - WARNING - ('boccherini_ensemble', 'G448_1_Guitar_quintet_D_Allegro_Maestoso')
2023-11-27 16:27:05,773 - WARNING - ('boccherini_ensemble', 'G448_2_Guitar_quintet_D_Pastorale')
2023-11-27 16:27:05,773 - WARNING - ('boccherini_ensemble', 'G448_3_Guitar_quintet_D_Grave_assai')
2023-11-27 16:27:05,773 - WARNING - ('boccherini_ensemble', 'G448_4_Guitar_quintet_D_Fandango')
2023-11-27 16:27:05,773 - WARNING - ('couperin_concerts', 'c12n01_pointe')
2023-11-27 16:27:05,773 - WARNING - ('couperin_concerts', 'c12n02_badinage')
2023-11-27 16:27:05,773 - WARNING - ('couperin_concerts', 'c12n03_air')
2023-11-27 16:27:05,773 - WARNING - ('couperin_concerts', 'c13n01_unisson')
2023-11-27 16:27:05,773 - WARNING - ('couperin_concerts', 'c13n02_air')
2023-11-27 16:27:05,773 - WARNING - ('couperin_concerts', 'c13n03_sarabande')
