	corpus	piece	localkey_mode	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	r_WLC_OLC	r_WLC_WLD	corpus_id	piece_id
551	chopin_mazurkas	BI61-1op07-1	major	1838.2307692307693	1832	Early Romantic	Extended tonality	Bb	0.36238717261140846	0.002952005821875686	7	355
552	chopin_mazurkas	BI61-2op07-2	major	1838.2307692307693	1832	Early Romantic	Extended tonality	a	0.0	0.33280130742579894	7	356
553	chopin_mazurkas	BI61-2op07-2	minor	1838.2307692307693	1832	Early Romantic	Extended tonality	a	0.14548040736883525	0.6950120471294696	7	356
554	chopin_mazurkas	BI61-3op07-3	major	1838.2307692307693	1832	Early Romantic	Extended tonality	f	0.04218832107411529	0.2885788682505936	7	357
555	chopin_mazurkas	BI61-3op07-3	minor	1838.2307692307693	1832	Early Romantic	Extended tonality	f	-0.12107297381189022	0.03475289547742675	7	357
556	chopin_mazurkas	BI61-4op07-4	major	1838.2307692307693	1832	Early Romantic	Extended tonality	Ab	-0.20889631619544308	0.6013041560769314	7	358
557	chopin_mazurkas	BI61-5op07-5	major	1838.2307692307693	1832	Early Romantic	Extended tonality	C	0.0	0.0	7	359
558	chopin_mazurkas	BI71	major	1838.2307692307693	1832	Early Romantic	Extended tonality	D	-0.037623955229874516	0.6249935888479262	7	360
559	chopin_mazurkas	BI73	major	1838.2307692307693	1832	Early Romantic	Extended tonality	Bb	-0.06201736729460423	0.3221584763154883	7	361
560	chopin_mazurkas	BI77-1op17-1	major	1838.2307692307693	1833	Early Romantic	Extended tonality	Bb	-0.029500336899324853	0.2966047561453862	7	362
561	chopin_mazurkas	BI77-2op17-2	major	1838.2307692307693	1833	Early Romantic	Extended tonality	e	0.548627906052229	-0.36632875226594175	7	363
562	chopin_mazurkas	BI77-2op17-2	minor	1838.2307692307693	1833	Early Romantic	Extended tonality	e	0.0360227113944536	0.4529650301550059	7	363
563	chopin_mazurkas	BI77-3op17-3	major	1838.2307692307693	1833	Early Romantic	Extended tonality	Ab	-0.10039475835299638	0.5786858232072237	7	364
564	chopin_mazurkas	BI77-4op17-4	major	1838.2307692307693	1833	Early Romantic	Extended tonality	a	0.10027032294924797	0.33655373088190665	7	365
565	chopin_mazurkas	BI77-4op17-4	minor	1838.2307692307693	1833	Early Romantic	Extended tonality	a	-0.1165818287907234	0.10123252780806223	7	365
566	chopin_mazurkas	BI85	major	1838.2307692307693	1834	Early Romantic	Extended tonality	Ab	-0.13308100435940387	0.46426093427450826	7	366
567	chopin_mazurkas	BI85	minor	1838.2307692307693	1834	Early Romantic	Extended tonality	Ab	0.0	1.0000000000000002	7	366
568	chopin_mazurkas	BI89-1op24-1	major	1838.2307692307693	1833	Early Romantic	Extended tonality	g	0.6079813277051732	-0.04402567719695366	7	367
569	chopin_mazurkas	BI89-1op24-1	minor	1838.2307692307693	1833	Early Romantic	Extended tonality	g	-0.14913536435561373	0.7585738820465615	7	367
570	chopin_mazurkas	BI89-2op24-2	major	1838.2307692307693	1833	Early Romantic	Extended tonality	C	0.0	0.4722037561089399	7	368
571	chopin_mazurkas	BI89-3op24-3	major	1838.2307692307693	1833	Early Romantic	Extended tonality	Ab	0.0	0.5232873754319008	7	369
572	chopin_mazurkas	BI89-4op24-4	major	1838.2307692307693	1833	Early Romantic	Extended tonality	bb	0.4491087517391268	-0.01595654257013234	7	370
573	chopin_mazurkas	BI89-4op24-4	minor	1838.2307692307693	1833	Early Romantic	Extended tonality	bb	0.017640837717318635	0.3307892814382052	7	370
574	chopin_mazurkas	BI93-1op67-1	major	1838.2307692307693	1835	Early Romantic	Extended tonality	G	-0.07837651582463186	0.251836464849817	7	371
575	chopin_mazurkas	BI93-2op67-3	major	1838.2307692307693	1835	Early Romantic	Extended tonality	C	-0.011941032708030765	0.5197822360028611	7	372
576	corelli	op01n01a	major	1687.6864702945581	1681	Baroque	Baroque	F	-0.0639137490706142	0.4394570547654029	8	373
577	corelli	op01n01a	minor	1687.6864702945581	1681	Baroque	Baroque	F	0.0	0.08596467496861993	8	373
578	corelli	op01n01b	major	1687.6864702945581	1681	Baroque	Baroque	F	-0.016598796464900922	0.13793152353451218	8	374
579	corelli	op01n01b	minor	1687.6864702945581	1681	Baroque	Baroque	F	0.0	-0.15551167977755329	8	374
580	corelli	op01n01c	major	1687.6864702945581	1681	Baroque	Baroque	F	0.0	0.06326372820207107	8	375
581	corelli	op01n01c	minor	1687.6864702945581	1681	Baroque	Baroque	F	-0.07938348467344604	0.05512317092660083	8	375
582	corelli	op01n01d	major	1687.6864702945581	1681	Baroque	Baroque	F	0.3028273587263433	0.24148832615075022	8	376
583	corelli	op01n01d	minor	1687.6864702945581	1681	Baroque	Baroque	F	-0.14379392104440059	0.2744604253646953	8	376
584	corelli	op01n02a	major	1687.6864702945581	1681	Baroque	Baroque	e	0.0	0.6614378277661477	8	377
585	corelli	op01n02a	minor	1687.6864702945581	1681	Baroque	Baroque	e	-0.14732120818584524	0.21550745638613436	8	377
586	corelli	op01n02b	major	1687.6864702945581	1681	Baroque	Baroque	e	0.0	0.0	8	378
587	corelli	op01n02b	minor	1687.6864702945581	1681	Baroque	Baroque	e	0.07832372129435665	0.38505796200272563	8	378
588	corelli	op01n02c	major	1687.6864702945581	1681	Baroque	Baroque	e	0.0	0.0	8	379
589	corelli	op01n02c	minor	1687.6864702945581	1681	Baroque	Baroque	e	0.0	0.28038509265774997	8	379
590	corelli	op01n02d	major	1687.6864702945581	1681	Baroque	Baroque	e	0.0	0.6115329189636902	8	380
591	corelli	op01n02d	minor	1687.6864702945581	1681	Baroque	Baroque	e	-0.05397992980185225	0.2731064455251987	8	380
592	corelli	op01n03a	major	1687.6864702945581	1681	Baroque	Baroque	A	0.0	0.0	8	381
593	corelli	op01n03a	minor	1687.6864702945581	1681	Baroque	Baroque	A	0.0	-0.13001210801873433	8	381
594	corelli	op01n03b	major	1687.6864702945581	1681	Baroque	Baroque	A	-0.01659044221010645	0.4878419037711297	8	382
595	corelli	op01n03b	minor	1687.6864702945581	1681	Baroque	Baroque	A	0.0	0.13358976862001207	8	382
596	corelli	op01n03c	major	1687.6864702945581	1681	Baroque	Baroque	A	-0.03849952517545091	0.1848569719051331	8	383
597	corelli	op01n03c	minor	1687.6864702945581	1681	Baroque	Baroque	A	0.0	0.24107332761755507	8	383
598	corelli	op01n03d	major	1687.6864702945581	1681	Baroque	Baroque	A	-0.025000000000000005	0.3929438246392728	8	384
599	corelli	op01n03d	minor	1687.6864702945581	1681	Baroque	Baroque	A	0.0	-0.254337447929721	8	384
600	corelli	op01n04a	major	1687.6864702945581	1681	Baroque	Baroque	a	0.0	0.6107777673071136	8	385
601	corelli	op01n04a	minor	1687.6864702945581	1681	Baroque	Baroque	a	-0.005816458962950094	0.11986131597024731	8	385
602	corelli	op01n04b	minor	1687.6864702945581	1681	Baroque	Baroque	a	-0.3153782099950283	0.06710319317205075	8	386
603	corelli	op01n04c	major	1687.6864702945581	1681	Baroque	Baroque	a	-0.07142857142857144	0.6162863861467947	8	387
604	corelli	op01n04c	minor	1687.6864702945581	1681	Baroque	Baroque	a	0.15428456893979148	-0.2220321804739818	8	387
605	corelli	op01n04d	major	1687.6864702945581	1681	Baroque	Baroque	a	0.0	0.0	8	388
606	corelli	op01n04d	minor	1687.6864702945581	1681	Baroque	Baroque	a	0.0	0.07973675161583485	8	388
