	corpus	piece	corpus_id	piece_id	corpus_year	piece_year	period_Johannes	period_Fabian	globalkey	localkey_mode	WLC	OLC	WLD
54	monteverdi_madrigals	8-18	2	31	1609.1691322587767	1638	pre-Baroque	Renaissance	C	minor	0.6008064516129032	0.012096774193548387	0.5663972983870968
55	monteverdi_madrigals	8-19	2	32	1609.1691322587767	1638	pre-Baroque	Renaissance	a	minor	0.8129496402877698	0.1510791366906475	0.5414523021582734
56	monteverdi_madrigals	8-19	2	32	1609.1691322587767	1638	pre-Baroque	Renaissance	a	major	0.6338028169014085	0.07746478873239436	0.5402807746478874
57	monteverdi_madrigals	9-12	2	33	1609.1691322587767	1651	Baroque	Renaissance	C	major	0.0	0.0	0.7557929999999999
58	monteverdi_madrigals	9-12	2	33	1609.1691322587767	1651	Baroque	Renaissance	C	minor	0.5	0.0	0.6552084375
59	sweelinck_keyboard	SwWV258_fantasia_cromatica	3	34	1621.0	1621	pre-Baroque	Renaissance	d	minor	1.183632734530938	0.3193612774451098	0.532674371257485
60	frescobaldi_fiori_musicali	12.01_Toccata_avanti_la_Messa_della_Domenica	4	35	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.9649122807017544	0.3508771929824561	0.6677664912280701
61	frescobaldi_fiori_musicali	12.02_Kyrie_della_domenica	4	36	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.36666666666666664	0.1	0.5962763333333334
62	frescobaldi_fiori_musicali	12.03_Kyrie,_Tema_A	4	37	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.7878787878787878	0.0	0.6139434848484848
63	frescobaldi_fiori_musicali	12.04_Christe,_Tema_B	4	38	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.5319148936170213	0.0425531914893617	0.5318778723404255
64	frescobaldi_fiori_musicali	12.05_Christe,_Tema_B,_alio_modo	4	39	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.9347826086956522	0.15217391304347827	0.5680082608695652
65	frescobaldi_fiori_musicali	12.06_Christe,_Tema_B,_alio_modo_II	4	40	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.32608695652173914	0.13043478260869565	0.48055456521739126
66	frescobaldi_fiori_musicali	12.07_Christe,_Tema_B,_alio_modo_III	4	41	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.4	0.14285714285714285	0.5692728571428571
67	frescobaldi_fiori_musicali	12.08_Kyrie,_Tema_C	4	42	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.2962962962962963	0.0	0.5541998148148148
68	frescobaldi_fiori_musicali	12.09_Kyrie,_Tema_D,_alio_modo_I	4	43	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.38095238095238093	0.14285714285714285	0.49472619047619043
69	frescobaldi_fiori_musicali	12.10_Kyrie,_Tema_D,_alio_modo_II	4	44	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.6923076923076923	0.07692307692307693	0.5270992307692308
70	frescobaldi_fiori_musicali	12.11_Kyrie_ultimo	4	45	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.8461538461538461	0.2	0.5421083076923077
71	frescobaldi_fiori_musicali	12.12_Kyrie,_Tema_D,_alio_modo_III	4	46	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.9523809523809523	0.011904761904761904	0.5903480952380952
72	frescobaldi_fiori_musicali	12.13_Kyrie,_Tema_D,_alio_modo_IV	4	47	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.8958333333333334	0.16666666666666666	0.6763252083333332
73	frescobaldi_fiori_musicali	12.14_Canzon_dopo_l’Epistola	4	48	1635.0	1635	pre-Baroque	Renaissance	d	minor	1.09478672985782	0.15639810426540285	0.5780323222748814
74	frescobaldi_fiori_musicali	12.15_Recercar_dopo_il_Credo	4	49	1635.0	1635	pre-Baroque	Renaissance	g	minor	0.8395061728395061	0.13580246913580246	0.4995633950617284
75	frescobaldi_fiori_musicali	12.16_Toccata_cromaticha_per_l’elevatione	4	50	1635.0	1635	pre-Baroque	Renaissance	a	minor	1.0251256281407035	0.035175879396984924	0.6307197989949749
76	frescobaldi_fiori_musicali	12.17_Canzon_post_il_Comune	4	51	1635.0	1635	pre-Baroque	Renaissance	C	major	0.18779342723004694	0.028169014084507043	0.5682736150234742
77	frescobaldi_fiori_musicali	12.18_Toccata_avanti_la_Messa_delli_Apostoli	4	52	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.7567567567567568	0.28378378378378377	0.6588064864864865
78	frescobaldi_fiori_musicali	12.19_Kyrie,_Tema_E_1	4	53	1635.0	1635	pre-Baroque	Renaissance	d	minor	1.2826086956521738	0.10869565217391304	0.5383069565217391
79	frescobaldi_fiori_musicali	12.20_Kyrie,_Tema_E_2	4	54	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.9206349206349206	0.047619047619047616	0.5963528571428571
80	frescobaldi_fiori_musicali	12.21_Kyrie,_Tema_E_3	4	55	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.7111111111111111	0.4	0.503614
81	frescobaldi_fiori_musicali	12.22_Christe,_Tema_F_1	4	56	1635.0	1635	pre-Baroque	Renaissance	d	minor	0.18604651162790697	0.11627906976744186	0.5479565116279069
