	Unnamed: 0	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	tones_in_span	tones_in_span_in_C	root	RC	ct	CTC	nct	NCTC	r_fifths_range	ct_fifths_range	nct_fifths_range	corpus_id	piece_id	mode
41	41	frescobaldi_fiori_musicali	12.08_Kyrie,_Tema_C	1635.0	1635	d	i	2.0	-4.0	4	-4	2	-4	[0]	[[2], [2]]	0.0	0.0	[-3, 1]	0.2962962962962963	[]	0.0	6.0	8	6	4	42	minor
42	42	frescobaldi_fiori_musicali	12.09_Kyrie,_Tema_D,_alio_modo_I	1635.0	1635	d	i	2.0	-4.0	6	-4	4	-3	[0]	[[2], [2]]	0.0	0.0	[-3, 1]	0.3809523809523809	[]	0.1428571428571428	6.0	10	7	4	43	minor
43	43	frescobaldi_fiori_musicali	12.10_Kyrie,_Tema_D,_alio_modo_II	1635.0	1635	d	i	6.0	-4.0	6	-4	3	-4	[0, 1]	[[2], [3], [3]]	0.0	0.3269230769230769	[-3, 1]	0.4423076923076923	[]	0.0769230769230769	10.0	10	7	4	44	minor
44	44	frescobaldi_fiori_musicali	12.11_Kyrie_ultimo	1635.0	1635	d	i	5.0	-4.0	6	-4	5	-3	[0, 1]	[[2], [3]]	0.0	0.2615384615384615	[-3, 1]	0.7076923076923077	[]	0.2	9.0	10	8	4	45	minor
45	45	frescobaldi_fiori_musicali	12.12_Kyrie,_Tema_D,_alio_modo_III	1635.0	1635	d	i	6.0	-4.0	6	-4	3	-2	[0, 1]	[[3], [2]]	0.0	0.2857142857142857	[-3, 1]	0.7857142857142857	[]	0.0119047619047619	10.0	10	5	4	46	minor
46	46	frescobaldi_fiori_musicali	12.13_Kyrie,_Tema_D,_alio_modo_IV	1635.0	1635	d	i	2.0	-3.0	5	-4	5	-1	[-2, 1, 3]	[[3], [3], [5], [3], [0], [3]]	1.0	0.0	[-2, 2]	0.8958333333333334	[3]	0.1666666666666666	5.0	9	6	4	47	minor
47	47	frescobaldi_fiori_musicali	12.14_Canzon_dopo_l’Epistola	1635.0	1635	d	i	6.0	-4.0	6	-4	5	-4	[0, 2, -3, 5]	[[2], [4], [-1], [4], [2], [7], [2]]	0.0	0.2037914691943128	[-3, 1]	0.909952606635071	[2, 5]	0.1563981042654028	10.0	10	9	4	48	minor
48	48	frescobaldi_fiori_musicali	12.15_Recercar_dopo_il_Credo	1635.0	1635	g	i	5.0	-4.0	6	-4	4	-4	[0]	[[1], [1], [1]]	0.0	0.0987654320987654	[-3, 1]	0.7407407407407407	[]	0.1358024691358024	9.0	10	8	4	49	minor
49	49	frescobaldi_fiori_musicali	12.16_Toccata_cromaticha_per_l’elevatione	1635.0	1635	a	i	5.0	-4.0	5	-6	5	-4	[-2, 1, 2]	[[4], [4, 1], [5]]	1.0	0.1507537688442211	[-2, 2]	0.9095477386934674	[]	0.0351758793969849	9.0	11	9	4	50	minor
51	51	frescobaldi_fiori_musicali	12.18_Toccata_avanti_la_Messa_delli_Apostoli	1635.0	1635	d	i	5.0	-4.0	5	-5	5	-4	[0, 1]	[[2, 2], [2, 2], [2, 2], [3, 3]]	0.0	0.1621621621621621	[-3, 1]	0.5945945945945946	[]	0.2837837837837837	9.0	10	9	4	52	minor
