	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	tones_in_span	tones_in_span_in_C	root	RC	ct	CTC	nct	NCTC	r_fifths_range	ct_fifths_range	nct_fifths_range	corpus_id	piece_id
39	frescobaldi_fiori_musicali	12.06_Christe,_Tema_B,_alio_modo_II	1635.0	1635	d	i	5.0	-4.0	5	-4	3	-3	[0, 1]	[[3], [2]]	0.0	0.06521739130434782	[-3, 1]	0.2608695652173913	[]	0.13043478260869565	9.0	9	6	4	40
40	frescobaldi_fiori_musicali	12.07_Christe,_Tema_B,_alio_modo_III	1635.0	1635	d	i	0.0	-4.0	4	-4	5	-3	[-2, 0, 1]	[[2], [2], [3], [0]]	0.0	0.0	[-3, 1]	0.4	[-2]	0.14285714285714285	4.0	8	8	4	41
41	frescobaldi_fiori_musicali	12.08_Kyrie,_Tema_C	1635.0	1635	d	i	2.0	-4.0	4	-4	2	-4	[0]	[[2], [2]]	0.0	0.0	[-3, 1]	0.2962962962962963	[]	0.0	6.0	8	6	4	42
42	frescobaldi_fiori_musicali	12.09_Kyrie,_Tema_D,_alio_modo_I	1635.0	1635	d	i	2.0	-4.0	6	-4	4	-3	[0]	[[2], [2]]	0.0	0.0	[-3, 1]	0.38095238095238093	[]	0.14285714285714285	6.0	10	7	4	43
43	frescobaldi_fiori_musicali	12.10_Kyrie,_Tema_D,_alio_modo_II	1635.0	1635	d	i	6.0	-4.0	6	-4	3	-4	[0, 1]	[[2], [3], [3]]	0.0	0.3269230769230769	[-3, 1]	0.4423076923076923	[]	0.07692307692307693	10.0	10	7	4	44
44	frescobaldi_fiori_musicali	12.11_Kyrie_ultimo	1635.0	1635	d	i	5.0	-4.0	6	-4	5	-3	[0, 1]	[[2], [3]]	0.0	0.26153846153846155	[-3, 1]	0.7076923076923077	[]	0.2	9.0	10	8	4	45
45	frescobaldi_fiori_musicali	12.12_Kyrie,_Tema_D,_alio_modo_III	1635.0	1635	d	i	6.0	-4.0	6	-4	3	-2	[0, 1]	[[3], [2]]	0.0	0.2857142857142857	[-3, 1]	0.7857142857142857	[]	0.011904761904761904	10.0	10	5	4	46
46	frescobaldi_fiori_musicali	12.13_Kyrie,_Tema_D,_alio_modo_IV	1635.0	1635	d	i	2.0	-3.0	5	-4	5	-1	[-2, 1, 3]	[[3], [3], [5], [3], [0], [3]]	1.0	0.0	[-2, 2]	0.8958333333333334	[3]	0.16666666666666666	5.0	9	6	4	47
47	frescobaldi_fiori_musicali	12.14_Canzon_dopo_l’Epistola	1635.0	1635	d	i	6.0	-4.0	6	-4	5	-4	[0, 2, -3, 5]	[[2], [4], [-1], [4], [2], [7], [2]]	0.0	0.2037914691943128	[-3, 1]	0.909952606635071	[2, 5]	0.15639810426540285	10.0	10	9	4	48
48	frescobaldi_fiori_musicali	12.15_Recercar_dopo_il_Credo	1635.0	1635	g	i	5.0	-4.0	6	-4	4	-4	[0]	[[1], [1], [1]]	0.0	0.09876543209876543	[-3, 1]	0.7407407407407407	[]	0.13580246913580246	9.0	10	8	4	49
49	frescobaldi_fiori_musicali	12.16_Toccata_cromaticha_per_l’elevatione	1635.0	1635	a	i	5.0	-4.0	5	-6	5	-4	[-2, 1, 2]	[[4], [4, 1], [5]]	1.0	0.1507537688442211	[-2, 2]	0.9095477386934674	[]	0.035175879396984924	9.0	11	9	4	50
50	frescobaldi_fiori_musicali	12.17_Canzon_post_il_Comune	1635.0	1635	C	I	6.0	-2.0	8	-2	6	-1	[1, 3, 5]	[[1], [1], [1], [1], [3], [5], [1]]	1.0	0.051643192488262914	[5, 2]	0.14084507042253522	[3]	0.028169014084507043	8.0	10	7	4	51
51	frescobaldi_fiori_musicali	12.18_Toccata_avanti_la_Messa_delli_Apostoli	1635.0	1635	d	i	5.0	-4.0	5	-5	5	-4	[0, 1]	[[2, 2], [2, 2], [2, 2], [3, 3]]	0.0	0.16216216216216217	[-3, 1]	0.5945945945945946	[]	0.28378378378378377	9.0	10	9	4	52
52	frescobaldi_fiori_musicali	12.19_Kyrie,_Tema_E_1	1635.0	1635	d	i	6.0	-3.0	6	-11	4	-4	[0]	[[2, 2], [2, 2]]	0.0	0.3695652173913043	[-3, 1]	1.0869565217391304	[]	0.10869565217391304	9.0	17	8	4	53
53	frescobaldi_fiori_musicali	12.20_Kyrie,_Tema_E_2	1635.0	1635	d	i	6.0	-3.0	6	-3	3	-4	[1]	[[3, 3], [3, 3]]	1.0	0.5714285714285714	[-2, 2]	0.6031746031746031	[]	0.047619047619047616	9.0	9	7	4	54
54	frescobaldi_fiori_musicali	12.21_Kyrie,_Tema_E_3	1635.0	1635	d	i	6.0	-3.0	6	-4	4	-3	[-1, 0, 1, 2, -3]	[[2, 2], [-1, -1], [3, 3], [4, 4], [-1, -1], [1, 1], [4, 4], [2, 2]]	0.0	0.26666666666666666	[-3, 1]	0.5333333333333333	[-1, 2]	0.4	9.0	10	7	4	55
55	frescobaldi_fiori_musicali	12.22_Christe,_Tema_F_1	1635.0	1635	d	i	5.0	-4.0	4	-4	3	-2	[0, 2]	[[2, 2], [2, 2], [4, 4]]	0.0	0.06976744186046512	[-3, 1]	0.11627906976744186	[2]	0.11627906976744186	9.0	8	5	4	56
56	frescobaldi_fiori_musicali	12.23_Christe,_Tema_F_2	1635.0	1635	d	i	5.0	-4.0	5	-4	3	-3	[0, 1]	[[3, 3], [2, 2]]	0.0	0.057692307692307696	[-3, 1]	0.6153846153846154	[]	0.057692307692307696	9.0	9	6	4	57
